Mapped_Symbol,Stability_Score,SHAP_Rank,ANOVA_Rank,MI_Rank,RF_Rank,LASSO_Rank,Best_DGE_Rank
TFAP2B,1.0,136.0,121.0,106.0,78.0,107.0,38.0
PIP,1.0,11.0,78.0,79.0,102.0,140.5,16.0
TFF1,1.0,29.0,18.0,23.0,37.0,103.0,2.0
PRAME,1.0,34.0,107.0,128.0,86.0,125.0,19.0
ANKRD30A,1.0,86.0,35.0,58.0,41.0,59.0,2.0
KCNJ3,1.0,120.0,96.0,84.0,144.0,86.0,39.0
SCGB1D2,1.0,97.0,117.0,102.0,145.0,123.0,22.0
CYP4Z1,1.0,122.0,106.0,108.0,136.0,128.0,44.0
HMGCS2,1.0,82.0,97.0,100.0,138.0,40.0,37.0
CPB1,1.0,5.0,108.0,96.0,128.0,89.0,10.0
SCGB2A2,1.0,111.0,104.0,121.0,147.0,26.0,11.0
S100A7,0.99,67.0,141.0,140.0,150.0,140.5,5.0
AGR3,0.75,144.0,3.0,2.0,4.0,63.0,1.0
MUCL1,0.75,20.0,124.0,134.0,100.0,140.5,2.0
SERPINA6,0.73,127.0,120.0,85.0,130.0,47.0,15.0
DHRS2,0.66,112.0,103.0,97.0,103.0,38.0,38.0
UGT2B11,0.07,147.0,144.0,136.0,127.0,85.0,50.0
ADH1B,0.04,24.0,139.0,143.0,98.0,101.0,30.0
GP2,0.01,25.0,41.0,32.0,50.0,73.0,12.0
SERPINA11,0.0,95.0,32.0,36.0,45.0,140.5,7.0
SAA1,0.0,33.0,126.0,123.0,61.0,140.5,38.0
STAC2,0.0,135.0,93.0,89.0,56.0,93.0,1.0
CLIC6,0.0,76.0,123.0,125.0,80.0,118.0,40.0
KRT23,0.0,91.0,102.0,81.0,82.0,31.0,49.0
CRISP3,0.0,36.0,149.0,147.0,105.0,98.0,39.0
TRPV6,0.0,139.0,98.0,99.0,96.0,105.0,42.0
ART3,0.0,56.0,13.0,43.0,55.0,75.0,20.0
AGR2,0.0,37.0,7.0,11.0,6.0,43.0,4.0
KRT6B,0.0,59.0,50.0,49.0,66.0,140.5,3.0
COL17A1,0.0,130.0,127.0,120.0,32.0,140.5,45.0
MYBPC1,0.0,21.0,152.0,151.0,146.0,104.0,40.0
IRX1,0.0,19.0,94.0,76.0,14.0,13.0,42.0
PNMT,0.0,90.0,119.0,116.0,72.0,45.0,7.0
MLPH,0.0,114.0,4.0,3.0,3.0,140.5,35.0
SERPINA3,0.0,89.0,115.0,107.0,76.0,9.0,33.0
KLHDC7A,0.0,131.0,66.0,78.0,134.0,51.0,50.0
LRP2,0.0,77.0,118.0,135.0,83.0,29.0,30.0
SLC34A2,0.0,27.0,99.0,98.0,142.0,55.0,14.0
KLK7,0.0,84.0,69.0,55.0,94.0,24.0,12.0
ATP13A4,0.0,83.0,138.0,145.0,99.0,97.0,44.0
SOX11,0.0,52.0,40.0,39.0,31.0,53.0,24.0
PPP1R14C,0.0,121.0,19.0,7.0,18.0,57.0,26.0
GABRP,0.0,63.0,34.0,9.0,29.0,46.0,4.0
B4GALNT2,0.0,128.0,145.0,150.0,112.0,15.0,49.0
SYT8,0.0,30.0,86.0,109.0,79.0,37.0,29.0
DEFB1,0.0,17.0,76.0,69.0,75.0,11.0,41.0
