true_class,prob_basal,prob_her2,prob_luminal_A,prob_luminal_B,prob_normal
luminal_A,0.0011941969860345125,0.0016786990454420447,0.988372266292572,0.0031335484236478806,0.005621299613267183
luminal_B,0.010713061317801476,0.07917732000350952,0.03847624361515045,0.8485987186431885,0.023034585639834404
basal,0.963621199131012,0.008648795075714588,0.006193754728883505,0.007883635349571705,0.01365271769464016
normal,0.4711073935031891,0.07813109457492828,0.08512852340936661,0.041018031537532806,0.3246149718761444
basal,0.9859535098075867,0.0031165168620646,0.002257600659504533,0.0032807791139930487,0.005391546059399843
luminal_B,0.00165850343182683,0.0011156699620187283,0.0012973936973139644,0.9936645030975342,0.00226383563131094
luminal_B,0.029549457132816315,0.13244503736495972,0.3188900649547577,0.4687676727771759,0.050347719341516495
luminal_B,0.002510699676349759,0.0018743136897683144,0.0020726779475808144,0.990384578704834,0.0031577644404023886
luminal_A,0.0011050270404666662,0.0013416518922895193,0.9901759028434753,0.002357266377657652,0.00502020213752985
basal,0.9872047901153564,0.0028641328681260347,0.0019821294117718935,0.003089409088715911,0.004859560634940863
luminal_A,0.001994907855987549,0.004117296542972326,0.9794506430625916,0.005155359860509634,0.009281723760068417
basal,0.9631224870681763,0.00857970304787159,0.005841117352247238,0.010224415920674801,0.012232140637934208
luminal_A,0.000769755628425628,0.00144640461076051,0.9923730492591858,0.0024128765799105167,0.0029979972168803215
luminal_A,0.00954456813633442,0.018595613539218903,0.9050052762031555,0.04652571678161621,0.020328808575868607
luminal_B,0.033980708569288254,0.05284460261464119,0.2571558356285095,0.608984112739563,0.04703477397561073
luminal_B,0.033615730702877045,0.05521395057439804,0.42847058176994324,0.40404707193374634,0.07865267992019653
luminal_A,0.000591518182773143,0.0007810661336407065,0.9953001737594604,0.0012240911601111293,0.0021032269578427076
her2,0.019092289730906487,0.6301047801971436,0.1471540927886963,0.17066359519958496,0.03298519179224968
luminal_A,0.0026370391715317965,0.004151947796344757,0.9670329689979553,0.005982281174510717,0.020195703953504562
luminal_A,0.0003920185554306954,0.0005683875060640275,0.9959424138069153,0.0010397591395303607,0.002057428937405348
luminal_A,0.001091201789677143,0.001583349658176303,0.9909507036209106,0.00253136083483696,0.003843225073069334
normal,0.0062446873635053635,0.010949023067951202,0.9134299159049988,0.01315742265433073,0.056218940764665604
luminal_A,0.0007169479504227638,0.0009212152799591422,0.9934316277503967,0.0016233224887400866,0.0033069525379687548
luminal_A,0.0010012860875576735,0.001359810819849372,0.9911108016967773,0.0025961059145629406,0.0039319912903010845
her2,0.006668059155344963,0.030696643516421318,0.012161181308329105,0.9432544708251953,0.007219654507935047
luminal_A,0.0014534172369167209,0.00300875143148005,0.9827258586883545,0.004760933108627796,0.008051042445003986
luminal_B,0.011138077825307846,0.01945193111896515,0.01843937113881111,0.9349076151847839,0.016063056886196136
luminal_B,0.027914034202694893,0.11343616247177124,0.5310354828834534,0.2210124135017395,0.10660190135240555
luminal_A,0.014663665555417538,0.022028714418411255,0.8068036437034607,0.12534567713737488,0.03115829825401306
basal,0.9880917072296143,0.0027095098048448563,0.0018903199816122651,0.0025168955326080322,0.00479151913896203
luminal_B,0.003288783598691225,0.0032375857699662447,0.004139679949730635,0.9852656722068787,0.004068321548402309
basal,0.9764589071273804,0.004583054222166538,0.0024609174579381943,0.009606787003576756,0.006890452466905117
luminal_B,0.008757088333368301,0.008643001317977905,0.010950197465717793,0.9609941244125366,0.010655668564140797
luminal_A,0.0066797793842852116,0.051984790712594986,0.8959860801696777,0.029003411531448364,0.01634594053030014
basal,0.9716380834579468,0.006625335197895765,0.004963514395058155,0.006315654143691063,0.010457446798682213
basal,0.9794490337371826,0.004649408161640167,0.0033224686048924923,0.004980702418833971,0.007598395459353924
luminal_A,0.0011539580300450325,0.0018999814055860043,0.9898026585578918,0.0030088257044553757,0.00413462333381176
basal,0.931553840637207,0.015818210318684578,0.012533441185951233,0.012391836382448673,0.02770267240703106
luminal_A,0.01283743605017662,0.060274388641119,0.7794475555419922,0.1161513701081276,0.03128920495510101
luminal_A,0.0008188725332729518,0.0014781210338696837,0.9925093650817871,0.00211807107552886,0.003075540531426668
luminal_B,0.02983412705361843,0.2973354756832123,0.4623112082481384,0.16434410214424133,0.04617512971162796
basal,0.9585148096084595,0.00985706876963377,0.007184991613030434,0.00843125395476818,0.01601174660027027
luminal_B,0.016409482806921005,0.03159695118665695,0.04444881156086922,0.8800327777862549,0.027511898428201675
luminal_A,0.000651858514174819,0.0007282118895091116,0.9943937063217163,0.0013856941368430853,0.002840504515916109
luminal_A,0.03305548056960106,0.04073730856180191,0.21132320165634155,0.6599293351173401,0.05495467036962509
luminal_A,0.0020181185100227594,0.00313908071257174,0.981266975402832,0.007276883348822594,0.006298897322267294
luminal_A,0.001268006511963904,0.00173511344473809,0.9898563623428345,0.0029586630407720804,0.0041819242760539055
luminal_B,0.07897115498781204,0.028206881135702133,0.023667335510253906,0.834369957447052,0.03478468582034111
basal,0.9499735236167908,0.01415835041552782,0.005178084131330252,0.01798655092716217,0.012703505344688892
normal,0.05133600905537605,0.07406417280435562,0.11862321197986603,0.0471561960875988,0.7088204622268677
luminal_A,0.0007887709653005004,0.001144148176535964,0.9913158416748047,0.001988979522138834,0.004762215074151754
luminal_A,0.0006924964836798608,0.0010958269704133272,0.9942896366119385,0.0016478488687425852,0.002274124650284648
luminal_A,0.0018102281028404832,0.0025472883135080338,0.9816707372665405,0.0044297268614172935,0.00954209454357624
luminal_A,0.005686666816473007,0.009587391279637814,0.9399399757385254,0.011972347274422646,0.03281358256936073
luminal_A,0.000489068916067481,0.0005734953447245061,0.9959281086921692,0.0009528235532343388,0.0020563772413879633
luminal_B,0.021164385601878166,0.028012895956635475,0.027403531596064568,0.8982594609260559,0.025159763172268867
her2,0.0578826442360878,0.7223379611968994,0.07940441370010376,0.11433155834674835,0.026043470948934555
luminal_A,0.0009316434734500945,0.0020966597367078066,0.9900053143501282,0.0028048837557435036,0.004161387216299772
luminal_A,0.0004059660714119673,0.0005257069715298712,0.9960893392562866,0.0009240335202775896,0.002054957440122962
luminal_A,0.02264283038675785,0.03081401064991951,0.6178165674209595,0.2903667092323303,0.03835985064506531
her2,0.02511274442076683,0.5727854371070862,0.2365836650133133,0.13842429220676422,0.02709389477968216
basal,0.9564600586891174,0.010138051584362984,0.007729887031018734,0.009555450640618801,0.016116483137011528
luminal_A,0.0005971674108877778,0.0007951847510412335,0.9952734112739563,0.0013166386634111404,0.0020176430698484182
luminal_A,0.0004034869489260018,0.0004907104885205626,0.9959677457809448,0.0009339561802335083,0.002204159740358591
luminal_B,0.007307558786123991,0.012156265787780285,0.012731197290122509,0.9573094844818115,0.010495498776435852
luminal_A,0.001565170823596418,0.002412625588476658,0.9833486676216125,0.00452701561152935,0.008146642707288265
luminal_A,0.000416798226069659,0.0004437443567439914,0.9967395663261414,0.0008390230359509587,0.001560992794111371
luminal_A,0.0008246273500844836,0.001383502036333084,0.9914303421974182,0.0025176701601594687,0.003843974322080612
luminal_B,0.017984576523303986,0.0367656946182251,0.03376809135079384,0.885581910610199,0.025899680331349373
basal,0.9900131225585938,0.0021996062714606524,0.001518524601124227,0.002412141300737858,0.0038564440328627825
basal,0.9861180186271667,0.0028935838490724564,0.0019242794951424003,0.004313808400183916,0.00475036958232522
basal,0.9774850010871887,0.00517993001267314,0.0036711799912154675,0.005258040502667427,0.008405923843383789
her2,0.019645391032099724,0.7794034481048584,0.09129184484481812,0.08612938225269318,0.023529862985014915
normal,0.06260577589273453,0.3198893070220947,0.19971062242984772,0.09005197137594223,0.3277423083782196
luminal_A,0.00027909231721423566,0.00032658898271620274,0.9973909258842468,0.000622410501819104,0.0013810084201395512
