true_class,prob_basal,prob_her2,prob_luminal_A,prob_luminal_B,prob_normal
luminal_A,0.019053985678164093,0.0720601766027225,0.6181703447224854,0.23450478627651952,0.056210706720108534
luminal_B,0.048398464136372006,0.2581922379471776,0.15448272475322616,0.5140954528785494,0.0248311202846749
basal,0.7409635718795509,0.07382604579030158,0.035360159409212416,0.03138796300299006,0.11846225991794453
normal,0.3673125118425119,0.07554817052692524,0.10559711270281022,0.03329088362854831,0.41825132129920445
basal,0.9551578619126867,0.022760124252973194,0.0030739911658389913,0.006523484983963471,0.012484537684537684
luminal_B,0.03704280477783175,0.10811280159353434,0.10715712433137002,0.7282803576561415,0.019406911641122092
luminal_B,0.02124464585697046,0.1993447896274601,0.23450629590061134,0.520699266496135,0.024205002118823097
luminal_B,0.08327501910515653,0.17836185769339208,0.0683519625251595,0.6343587705924308,0.03565239008386121
luminal_A,0.011134373999137602,0.020006795822766824,0.7265706314394247,0.014037517100954612,0.22825068163771653
basal,0.8528852070701582,0.05710893898464735,0.015017635468727837,0.0312254644334453,0.04376275404302148
luminal_A,0.024410029334781116,0.09570871070416845,0.6428110841050423,0.060560901209896975,0.17650927464611127
basal,0.8881219890370793,0.055351201876663654,0.016304423249748283,0.025602964646034943,0.014619421190473821
luminal_A,0.026950043832235104,0.13593471062660045,0.45388631878161007,0.3386033039092475,0.04462562285030693
luminal_A,0.010915424091827051,0.08635295085617606,0.34492993476692557,0.5435298707441832,0.014271819540888164
luminal_B,0.0034222384448849646,0.04238837140339112,0.19727732151611302,0.7501975006193986,0.006714568016212185
luminal_B,0.06597180378825324,0.1556332587765486,0.22852790372288784,0.4841701693626869,0.06569686434962349
luminal_A,0.009197966067722167,0.0357452042504269,0.8803344971848884,0.05376706759801083,0.02095526489895161
her2,0.038527738551729016,0.31753388495076623,0.1855193341081622,0.42287708257125495,0.03554195981808784
luminal_A,0.006575240354085129,0.012272627511324677,0.4929429340676637,0.010386669991069726,0.47782252807585657
luminal_A,0.018443920661111154,0.06534866213229537,0.5566301520811647,0.3266130819868041,0.03296418313862459
luminal_A,0.005652595876194463,0.041548134214094645,0.773562299116499,0.16900693890011192,0.010230031893100771
normal,0.016068342592827328,0.027661822709988605,0.3827615888246433,0.016552023377921627,0.5569562224946191
luminal_A,0.007973142470587896,0.024856264460812856,0.8431260634750454,0.037058473891626295,0.08698605570192772
luminal_A,0.013858692553347178,0.049931867246670744,0.6379070552079097,0.26386811487081624,0.03443427012125637
her2,0.09346283374062478,0.49565741910309824,0.07499012834953381,0.3025151979675911,0.03337442083915214
luminal_A,0.029521880778517886,0.1114195780631526,0.4684084259327993,0.1347780325391554,0.2558720826863749
luminal_B,0.013603544811809016,0.06958877856622579,0.2191428106450131,0.6881233912700353,0.009541474706916355
luminal_B,0.029453684226546588,0.1302862536799927,0.29575453746065405,0.4791634891591777,0.06534203547362956
luminal_A,0.03447560999982501,0.09251009904577263,0.27862858698623333,0.5505268889131619,0.04385881505500707
basal,0.8220075167926137,0.058889376477820464,0.03559318861090004,0.028634020415291325,0.05487589770337446
luminal_B,0.012454439923631629,0.05792316367616771,0.17121635967524163,0.746424304635568,0.011981732089390736
basal,0.9211241341941219,0.03632215326830775,0.008738924398303571,0.023772694122172887,0.010042094017094015
luminal_B,0.035586391955604,0.1044185170241356,0.2736172779001791,0.5426696990198259,0.0437081141002554
luminal_A,0.03334186827207157,0.2707947932870348,0.38969421942043553,0.27148627032060657,0.03468284869985177
basal,0.9639881144131318,0.01925616817830144,0.003844782410571885,0.005410478047537705,0.00750045695045695
basal,0.8951644741880191,0.04437086928600678,0.016906553411544765,0.017754246871918768,0.025803856242510664
