consensus_rank,gene_symbol,in_candidate_background
1,PGR,True
2,IRX1,True
3,MUC15,True
4,LBP,False
5,MAB21L4,True
6,SRARP,True
7,KRT5,True
8,ELOVL2,True
9,BPIFB1,True
10,CAPN8,True
11,KLK6,True
12,KLK7,True
13,KRT6A,True
14,FSIP1,True
15,NXPH1,True
16,NAT1,True
17,PHYHD1,True
18,AGR2,True
19,FOXA1,True
20,AGR3,True
21,BCL11A,True
22,CA12,True
23,PPP1R1B,True
24,AFF3,True
25,AR,True
26,ANKRD30B,True
27,PI16,False
28,SCARA5,False
29,FGFR4,False
30,KLK5,True
31,SLC12A1,False
32,SLC5A1,True
33,PPP1R14C,True
34,DACH1,True
35,HSD17B2,True
36,ABCA12,True
37,SERHL2,True
38,NXNL2,True
39,S100A8,True
40,WNK4,True
41,COL17A1,True
42,HMGCS2,True
43,ART3,True
44,SCGB1D2,True
45,OSR1,True
46,CADM3,True
47,SLC44A4,True
48,TFF1,True
49,CHI3L2,True
50,SERPINA11,True
51,PRR15,True
52,CRISP3,False
53,ADH1B,True
54,ERICH3,True
55,NBPF4,True
56,KRT23,True
57,S100A9,True
58,IL33,True
59,KRT6B,True
60,GABRP,True
61,NEK10,True
62,TTC36,True
63,SCUBE2,True
64,FUT3,True
65,C2CD4A,True
66,KRT14,True
67,SLPI,True
68,SPINK8,True
69,KLK10,True
70,PIGR,False
71,KLHDC7A,True
72,B4GALNT2,False
73,A2ML1,True
74,SERPINA5,True
75,MYBPC1,False
76,ANKRD30A,True
77,DHRS2,True
78,KRT81,True
79,TRPV6,True
80,CD300LG,True
81,VGLL1,True
82,EDN3,True
83,SYT9,True
84,CLDN8,True
85,SUSD3,True
86,FDCSP,True
87,PIP,True
88,SLC6A14,True
89,CAPN13,True
90,NPY1R,True
91,MUC6,False
92,CST9,True
93,ATP13A4,True
94,SOX10,True
95,AQP5,True
96,FABP7,True
97,CALML5,True
98,PGLYRP2,True
99,SCGB2A2,True
100,C4BPA,True
101,DSG1,True
102,PIK3C2G,True
103,SYTL5,True
104,GRPR,True
105,CXCL2,True
106,ACE2,True
107,CXCL17,False
108,KLK8,True
109,PRAME,True
110,SERPINA6,True
111,ESR1,True
112,LRP2,True
113,BBOX1,True
114,RELN,True
115,GABBR2,True
116,S100A7A,False
117,TMPRSS6,True
118,WIF1,True
119,CALML3,True
120,DCD,False
121,KRT17,True
122,ACKR1,True
123,DEFB1,True
124,TNNT1,False
125,CHAD,True
126,MIA,True
127,MAPK4,True
128,TPRG1,True
129,GRIA4,True
130,OPRPN,True
131,SPDEF,True
132,SERPINB5,True
133,PTPRZ1,True
134,CYP4Z1,True
135,SFRP1,True
136,HOXB13,False
137,C7,True
138,S100A2,True
139,ERBB4,True
140,SERPINA3,True
141,IGFALS,True
142,SMYD1,True
143,UGT2B28,True
144,RBM24,True
145,SORCS1,True
146,KCNJ3,True
147,S100A7,False
148,KRT15,True
149,ABCC2,False
150,PROM1,True
151,SOX11,True
152,PADI3,False
153,CT83,True
154,CRABP1,True
155,DSC3,True
156,CA9,True
157,CAPN6,True
158,BRINP3,False
159,GLYATL2,True
160,PSAT1,True
161,CEACAM5,True
162,DNALI1,True
163,ANXA8,True
164,BCAS1,True
165,SYT8,True
166,CLCA2,True
167,TFAP2B,True
168,MRGPRX3,True
169,ABCC11,True
170,UGT2B11,True
171,BRINP1,False
172,SOSTDC1,True
173,PTPRT,True
174,TBX10,True
175,DSG3,True
176,SLC34A2,True
177,KRT16,True
178,GP2,True
179,OLFM4,False
180,CPB1,True
181,TDRD1,False
182,ECRG4,True
183,MAPT,True
184,HORMAD1,True
185,CASP14,True
186,KRT6C,True
187,TP63,True
188,FAT2,True
189,CLIC6,True
190,GFRA1,True
191,FOLR1,True
192,TFF3,True
193,ABCC8,True
194,DLK1,False
195,PTN,True
196,STAC2,True
197,LTF,True
198,PLPPR3,True
199,LY6D,True
200,SAA2,True
201,MSLN,True
202,AKR1B10,True
203,TRIM29,True
204,SAA1,True
205,MLPH,True
206,PDZK1,True
207,HS3ST4,True
208,MUCL1,True
209,ATP13A5,True
210,DCDC2,True
211,PNMT,True
