feature,hugo_symbol,primary_subtype,consensus_importance,overall_consensus_importance,rf_overall_importance,lr_overall_importance,rf_importance_basal,lr_importance_basal,consensus_basal,rf_importance_her2,lr_importance_her2,consensus_her2,rf_importance_luminal_A,lr_importance_luminal_A,consensus_luminal_A,rf_importance_luminal_B,lr_importance_luminal_B,consensus_luminal_B,rf_importance_normal,lr_importance_normal,consensus_normal,network_rank,is_elite_signature,network_primary_subtype,network_node_id
2099,ESR1,her2,0.833340585231781,0.5764481949370213,0.009099034613013387,0.010290131904184818,0.006445631798480788,0.002309405943378806,0.3681791027537367,0.013099839775969298,0.021566230803728104,0.833340585231781,0.011202387313409846,0.006375466473400593,0.6047247797250748,0.011268791753626762,0.01934981718659401,0.7658807337284088,0.0034785224235802385,0.0018497363198548555,0.31011577324610506,31,True,her2,ESR1
3852,KRT5,normal,0.7490511706458691,0.33026290267119335,0.0034872354432762807,0.008026588708162308,0.0008285194521709301,0.0017808442935347557,0.08934406844089766,0.001924198076497838,0.001704771420918405,0.09979094377048685,0.0026234780919613164,0.004416168667376041,0.189552001558419,0.006114026559692505,0.018361765891313553,0.523576328940294,0.005945955036058813,0.013869392685592175,0.7490511706458691,6,False,normal,KRT5
3169,FOXA1,basal,0.7387501299381256,0.3021787168057496,0.004834677198893497,0.0033699169289320707,0.010644403777201134,0.008424791507422924,0.7387501299381256,0.005084835832303407,0.0037581108044832945,0.25216535868767154,0.0033366842320232066,0.0035006830003112555,0.2063077849611076,0.0031681251535973596,0.00035164004657417536,0.14522528138317006,0.001939336999342379,0.0008143598097376525,0.1684450290586729,18,False,basal,FOXA1
10551,AGR2,basal,0.6168165702375231,0.24774133730652106,0.0032187926089106826,0.004720643162727356,0.00763037446641031,0.009117837995290756,0.6168165702375231,0.002025158134260806,0.001722746412269771,0.10392226223414815,0.002910428400075262,0.0020010971929877996,0.16258611135167145,0.002211597029162389,0.009800522588193417,0.2327065924068082,0.0013164050146446428,0.0009610116248950362,0.12267515030245436,17,False,basal,AGR2
79083,MLPH,basal,0.611371725541312,0.2400417966175211,0.003483168845102279,0.0033363618422299623,0.007983296165656639,0.008340894244611263,0.611371725541312,0.0033349531302449445,0.0019386454951018095,0.15725214366753493,0.0024308933942337307,0.0038394529838114977,0.1714584589259724,0.0019656563781269977,0.001859036274254322,0.11259814544016183,0.0017010451572490833,0.000703780387993902,0.14752850951262428,34,True,basal,MLPH
2064,ERBB2,her2,0.6057964897569561,0.305309452976728,0.0011335245977454982,0.014094685204327106,0.0004104813975766098,0.015923991799354553,0.4705981540153579,0.0027718341293522025,0.032348550856113434,0.6057964897569561,0.0010000069688683585,0.0029159020632505417,0.09238339732202358,0.0012621199609994002,0.01639690436422825,0.2812786682852003,0.0002231805319309197,0.0028880778700113297,0.07649055550410214,32,True,her2,ERBB2
9,NAT1,normal,0.5938249562428815,0.3880226448431759,0.003957373135430106,0.010436954908072948,0.0036695405525986515,0.00502784876152873,0.31483251697318393,0.00281964581213825,0.005758693441748619,0.19662913561928919,0.006909889640959148,0.016135824844241142,0.5738781077466973,0.0027997203224282576,0.009956644847989082,0.2609485076338275,0.003588069349026221,0.01530576590448618,0.5938249562428815,15,False,normal,NAT1
84152,PPP1R1B,luminal_B,0.47404493935444014,0.251871358282822,0.00021408465607425397,0.015233541838824749,1.0756880404962987e-05,0.004559431690722704,0.12969094504263423,0.00046191410411811345,0.026249295100569725,0.4233559742773052,0.00025281866292146943,0.006107713095843792,0.11159933305496822,0.0002989033768028045,0.033524420112371445,0.47404493935444014,4.603025612391939e-05,0.005726851988583803,0.12066559968476218,22,False,luminal_B,PPP1R1B
92747,BPIFB1,luminal_A,0.4689305427817765,0.2151723617074735,5.373765099092148e-05,0.01125048752874136,0.0,0.005419263616204262,0.15355777740478516,0.0,0.002430815016850829,0.03756963089108467,0.0001343441274773037,0.028126202523708344,0.4689305427817765,0.0,0.0013561879750341177,0.018467126414179802,0.0001343441274773037,0.018919967114925385,0.39733673104554135,8,False,luminal_A,BPIFB1
93210,PGAP3,her2,0.4662115845357556,0.23470586528534976,0.0006026848460959901,0.011580212041735649,0.00018009901298276506,0.01135763619095087,0.33034204599111405,0.001459633732633095,0.026558173820376396,0.4662115845357556,0.0006415669058044149,0.009141875430941582,0.17891962594727165,0.0007124237962207098,0.00845109112560749,0.1476330055990731,1.9700782838965585e-05,0.0023922864347696304,0.05042306435353436,33,True,her2,PGAP3
29089,UBE2T,luminal_A,0.462941601860151,0.29674787292043725,0.002207756998586164,0.01087169162929058,0.00014992826174691466,0.006818212568759918,0.20025388833537336,0.0012170326710812932,0.00996951200067997,0.20054543254783141,0.0053563878873028594,0.013609932735562325,0.462941601860151,0.004067700838758889,0.010391484946012497,0.3231882966135784,0.00024773533404086123,0.013569314032793045,0.29681014524525196,36,True,luminal_A,UBE2T
81706,PPP1R14C,luminal_B,0.4131503934798722,0.20271970964612204,0.0006041497311714903,0.010287227109074593,0.00020080767065041823,0.007185769733041525,0.21306233839931588,0.0007035586104775416,0.007632420398294926,0.1448231489564342,0.0004178984237575534,0.0066054887138307095,0.12716518658523823,0.0013456355881417046,0.025718029588460922,0.4131503934798722,0.00035284836283023396,0.0042944299057126045,0.1153974808097498,28,False,luminal_B,PPP1R14C
5241,PGR,luminal_A,0.3832122918788493,0.16104057276589073,0.00037180659895683224,0.008705799467861652,5.057943626531018e-05,0.0031465934589505196,0.09151431810032057,0.0008399113401837883,0.00967932678759098,0.18166600344424505,0.000561176350364346,0.021764542907476425,0.3832122918788493,0.00033622255219685623,0.008097628131508827,0.12608069216618664,7.114331577386042e-05,0.0008409019210375845,0.022729558239852125,1,False,luminal_A,PGR
25818,KLK5,luminal_B,0.378560377238172,0.16916103370533928,0.0006477213910350979,0.008990699425339699,5.3090161500732236e-05,1.4710298273712397e-05,0.0028583451802620535,0.0003371199293022957,0.007975680753588676,0.13614245378900397,0.0010850293019005624,0.00782326515763998,0.1769968367131934,0.0015750927273769793,0.022461965680122375,0.378560377238172,0.0001882748350949199,0.0066778771579265594,0.15124715560606494,26,False,luminal_B,KLK5
30010,NXPH1,her2,0.37387440652211773,0.17122164829471995,4.2152675698144896e-05,0.010715456679463387,0.00010538168924536224,0.001983401132747531,0.0611176076674082,0.00010538168924536224,0.023928409442305565,0.37387440652211773,0.0,0.012994270771741867,0.2137288600206375,0.0,0.013794373720884323,0.18949303030967712,0.0,0.0008768237312324345,0.017894336953759193,14,False,her2,NXPH1
54898,ELOVL2,her2,0.3687248982968947,0.19762481856538608,0.0013621802616661587,0.008482411503791809,0.00029789539791882854,0.0013605704298242927,0.05250629179214934,0.003000925260946806,0.016445081681013107,0.3687248982968947,0.0016791734483638484,0.015938106924295425,0.33715755388483937,0.00163647915848275,0.005267993081361055,0.14486583637064393,0.0001964280426185609,0.00340030319057405,0.08486951248240306,7,False,her2,ELOVL2
367,AR,basal,0.35798761305228377,0.13649029523977246,0.001225098201870461,0.003548732725903392,0.002966764364324816,0.007714955601841211,0.35798761305228377,0.0010889293896810968,0.00037257123040035367,0.04731861083952654,0.000649860475102665,0.0011569047346711159,0.04778653032281931,0.0009595145838827404,0.003408935386687517,0.08926652443361432,0.00046042219636098687,0.0050902958028018475,0.14009219755061844,24,False,basal,AR
254295,PHYHD1,luminal_A,0.35229977543298696,0.17555426711771552,0.00036319587281893466,0.00967548880726099,5.231690993648215e-05,0.003953661769628525,0.11447246340555325,0.00012294922591265647,0.0022110496647655964,0.03886555302938223,0.0008379166042979894,0.01913749985396862,0.35229977543298696,0.0007903635320137544,0.020235050469636917,0.31312143736713,1.2433091933790971e-05,0.002840181114152074,0.05901210635352506,16,False,luminal_A,PHYHD1
