source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
ESR1,AGR2,ESR1,AGR2,0.7155204421928796,0.7155204421928796,positive
ESR1,MLPH,ESR1,MLPH,0.7248067508851725,0.7248067508851725,positive
ESR1,FOXA1,ESR1,FOXA1,0.754999046960105,0.754999046960105,positive
ESR1,NAT1,ESR1,NAT1,0.7006432430138667,0.7006432430138667,positive
ESR1,AGR3,ESR1,AGR3,0.8478960135579517,0.8478960135579517,positive
ESR1,PPP1R14C,ESR1,PPP1R14C,-0.6809267393437615,0.6809267393437615,negative
ESR1,PGR,ESR1,PGR,0.6829421536150007,0.6829421536150007,positive
ESR1,AR,ESR1,AR,0.6352302115071136,0.6352302115071136,positive
ESR1,HORMAD1,ESR1,HORMAD1,-0.6178380203596856,0.6178380203596856,negative
ESR1,KLK6,ESR1,KLK6,-0.5286194356265376,0.5286194356265376,negative
ESR1,BCL11A,ESR1,BCL11A,-0.6535322707709255,0.6535322707709255,negative
ESR1,SRARP,ESR1,SRARP,0.6909246878660419,0.6909246878660419,positive
ESR1,CA12,ESR1,CA12,0.7884828897392598,0.7884828897392598,positive
ESR1,ELOVL2,ESR1,ELOVL2,0.5121577093194466,0.5121577093194466,positive
ESR1,AFF3,ESR1,AFF3,0.7483077202034258,0.7483077202034258,positive
ESR1,FSIP1,ESR1,FSIP1,0.7263513586238015,0.7263513586238015,positive
ESR1,DACH1,ESR1,DACH1,0.7084523753403889,0.7084523753403889,positive
ESR1,CAPN8,ESR1,CAPN8,0.6273976664770767,0.6273976664770767,positive
ESR1,ANKRD30B,ESR1,ANKRD30B,0.5818895653437557,0.5818895653437557,positive
AGR2,MLPH,AGR2,MLPH,0.7918186285457439,0.7918186285457439,positive
AGR2,FOXA1,AGR2,FOXA1,0.8303780090290126,0.8303780090290126,positive
AGR2,NAT1,AGR2,NAT1,0.6216694797160918,0.6216694797160918,positive
AGR2,AGR3,AGR2,AGR3,0.8111199481753073,0.8111199481753073,positive
AGR2,BPIFB1,AGR2,BPIFB1,0.5635285456567863,0.5635285456567863,positive
AGR2,PPP1R14C,AGR2,PPP1R14C,-0.5910156466854238,0.5910156466854238,negative
AGR2,PGR,AGR2,PGR,0.565837597913259,0.565837597913259,positive
AGR2,AR,AGR2,AR,0.6636816632669638,0.6636816632669638,positive
AGR2,HORMAD1,AGR2,HORMAD1,-0.6971488092250837,0.6971488092250837,negative
AGR2,BCL11A,AGR2,BCL11A,-0.6048032579111069,0.6048032579111069,negative
AGR2,SRARP,AGR2,SRARP,0.6965269013214447,0.6965269013214447,positive
AGR2,CA12,AGR2,CA12,0.70408896566026,0.70408896566026,positive
AGR2,AFF3,AGR2,AFF3,0.5844208465788749,0.5844208465788749,positive
AGR2,FSIP1,AGR2,FSIP1,0.6642661543889495,0.6642661543889495,positive
AGR2,DACH1,AGR2,DACH1,0.6145432578420237,0.6145432578420237,positive
AGR2,CAPN8,AGR2,CAPN8,0.6845716623157788,0.6845716623157788,positive
AGR2,ANKRD30B,AGR2,ANKRD30B,0.5518603963239542,0.5518603963239542,positive
MLPH,FOXA1,MLPH,FOXA1,0.8418715448356782,0.8418715448356782,positive
MLPH,NAT1,MLPH,NAT1,0.6388363337218665,0.6388363337218665,positive
MLPH,AGR3,MLPH,AGR3,0.7653741434887792,0.7653741434887792,positive
MLPH,BPIFB1,MLPH,BPIFB1,0.521038861358842,0.521038861358842,positive
MLPH,PPP1R14C,MLPH,PPP1R14C,-0.6453238745008072,0.6453238745008072,negative
MLPH,PGR,MLPH,PGR,0.5653698139464067,0.5653698139464067,positive
MLPH,AR,MLPH,AR,0.6699278942995817,0.6699278942995817,positive
MLPH,HORMAD1,MLPH,HORMAD1,-0.7266441945682489,0.7266441945682489,negative
MLPH,KLK6,MLPH,KLK6,-0.5201918396827268,0.5201918396827268,negative
MLPH,BCL11A,MLPH,BCL11A,-0.6615762415867189,0.6615762415867189,negative
MLPH,SRARP,MLPH,SRARP,0.7454792604344292,0.7454792604344292,positive
MLPH,CA12,MLPH,CA12,0.735500086390971,0.735500086390971,positive
MLPH,AFF3,MLPH,AFF3,0.6590000176511442,0.6590000176511442,positive
MLPH,FSIP1,MLPH,FSIP1,0.6869119035827037,0.6869119035827037,positive
MLPH,DACH1,MLPH,DACH1,0.664611922641561,0.664611922641561,positive
MLPH,CAPN8,MLPH,CAPN8,0.7161321462122894,0.7161321462122894,positive
MLPH,ANKRD30B,MLPH,ANKRD30B,0.5694938798598299,0.5694938798598299,positive
KRT5,PPP1R14C,KRT5,PPP1R14C,0.6485681942532286,0.6485681942532286,positive
KRT5,IRX1,KRT5,IRX1,0.6066540646393692,0.6066540646393692,positive
KRT5,KLK5,KRT5,KLK5,0.7190811007333446,0.7190811007333446,positive
KRT5,KLK6,KRT5,KLK6,0.6933518260541506,0.6933518260541506,positive
KRT5,BCL11A,KRT5,BCL11A,0.607759323607081,0.607759323607081,positive
KRT5,KLK7,KRT5,KLK7,0.7328372026126008,0.7328372026126008,positive
KRT5,KRT6A,KRT5,KRT6A,0.6477714158519176,0.6477714158519176,positive
FOXA1,NAT1,FOXA1,NAT1,0.6485828098012052,0.6485828098012052,positive
FOXA1,AGR3,FOXA1,AGR3,0.7600786256415849,0.7600786256415849,positive
FOXA1,BPIFB1,FOXA1,BPIFB1,0.5188186051164306,0.5188186051164306,positive
FOXA1,PPP1R14C,FOXA1,PPP1R14C,-0.6727838120156377,0.6727838120156377,negative
FOXA1,PGR,FOXA1,PGR,0.599248589521034,0.599248589521034,positive
FOXA1,AR,FOXA1,AR,0.7752643658966869,0.7752643658966869,positive
FOXA1,HORMAD1,FOXA1,HORMAD1,-0.7479996924644592,0.7479996924644592,negative
FOXA1,KLK6,FOXA1,KLK6,-0.597092732519485,0.597092732519485,negative
FOXA1,BCL11A,FOXA1,BCL11A,-0.6710968466925,0.6710968466925,negative
FOXA1,KLK7,FOXA1,KLK7,-0.5009847043966452,0.5009847043966452,negative
FOXA1,SRARP,FOXA1,SRARP,0.7190866541681049,0.7190866541681049,positive
FOXA1,CA12,FOXA1,CA12,0.7455090339622922,0.7455090339622922,positive
FOXA1,AFF3,FOXA1,AFF3,0.6539992472021166,0.6539992472021166,positive
FOXA1,FSIP1,FOXA1,FSIP1,0.7093372726655923,0.7093372726655923,positive
FOXA1,DACH1,FOXA1,DACH1,0.6780660853529482,0.6780660853529482,positive
FOXA1,CAPN8,FOXA1,CAPN8,0.668232135339915,0.668232135339915,positive
FOXA1,ANKRD30B,FOXA1,ANKRD30B,0.5983940746467417,0.5983940746467417,positive
ERBB2,PGAP3,ERBB2,PGAP3,0.8599022948626235,0.8599022948626235,positive
NAT1,AGR3,NAT1,AGR3,0.7489770132647788,0.7489770132647788,positive
NAT1,PPP1R14C,NAT1,PPP1R14C,-0.5128971223577677,0.5128971223577677,negative
NAT1,PGR,NAT1,PGR,0.6451152220895006,0.6451152220895006,positive
NAT1,AR,NAT1,AR,0.5754718499933603,0.5754718499933603,positive
NAT1,HORMAD1,NAT1,HORMAD1,-0.535439869986932,0.535439869986932,negative
NAT1,BCL11A,NAT1,BCL11A,-0.5274798083599157,0.5274798083599157,negative
NAT1,SRARP,NAT1,SRARP,0.5684262116866751,0.5684262116866751,positive
NAT1,CA12,NAT1,CA12,0.6570593370525594,0.6570593370525594,positive
NAT1,AFF3,NAT1,AFF3,0.5314092394210047,0.5314092394210047,positive
NAT1,FSIP1,NAT1,FSIP1,0.6347488992286792,0.6347488992286792,positive
NAT1,DACH1,NAT1,DACH1,0.5818695976450484,0.5818695976450484,positive
NAT1,CAPN8,NAT1,CAPN8,0.622154576901223,0.622154576901223,positive
NAT1,ANKRD30B,NAT1,ANKRD30B,0.5091819468291994,0.5091819468291994,positive
AGR3,BPIFB1,AGR3,BPIFB1,0.5481026877715031,0.5481026877715031,positive
AGR3,PPP1R14C,AGR3,PPP1R14C,-0.6405222614787005,0.6405222614787005,negative
AGR3,PGR,AGR3,PGR,0.6845188701392377,0.6845188701392377,positive
AGR3,AR,AGR3,AR,0.6065650266981538,0.6065650266981538,positive
AGR3,HORMAD1,AGR3,HORMAD1,-0.6397012623712927,0.6397012623712927,negative
AGR3,BCL11A,AGR3,BCL11A,-0.6050229390380955,0.6050229390380955,negative
AGR3,SRARP,AGR3,SRARP,0.7285475584313619,0.7285475584313619,positive
