network_node_id,gene_symbol,feature,primary_subtype,consensus_importance,rf_overall_importance,lr_overall_importance,degree,weighted_degree,betweenness,is_elite
FOXA1,FOXA1,3169,basal,0.7387501299381256,0.004834677198893497,0.0033699169289320707,20,13.691823888228177,0.06260624215927027,False
ESR1,ESR1,2099,her2,0.833340585231781,0.009099034613013387,0.010290131904184818,19,12.926918300746198,0.05563351938315718,True
MLPH,MLPH,79083,basal,0.611371725541312,0.003483168845102279,0.0033363618422299623,19,12.849909338193502,0.030814414022179885,True
PPP1R14C,PPP1R14C,81706,luminal_B,0.4131503934798722,0.0006041497311714903,0.010287227109074593,19,11.885046169934176,0.10158645686391264,False
BCL11A,BCL11A,53335,basal,0.2974376296457929,0.001296834932883252,0.006278143730014563,19,11.42943899553958,0.10158645686391264,False
AGR2,AGR2,10551,basal,0.6168165702375231,0.0032187926089106826,0.004720643162727356,18,11.956800212748945,0.012041586588819278,False
AGR3,AGR3,155465,basal,0.3408412747554489,0.002563320098847134,0.008539932779967785,18,12.559973879523286,0.012041586588819278,True
AFF3,AFF3,3899,her2,0.2840484203135184,0.0015581496215480932,0.008093010634183884,18,10.999451416528947,0.032002701008061775,False
SRARP,SRARP,149563,luminal_A,0.27448558039278304,0.0008553036521988146,0.008048281073570251,18,11.087119304736099,0.012041586588819278,False
NAT1,NAT1,9,normal,0.5938249562428815,0.003957373135430106,0.010436954908072948,17,10.259962561069676,0.005167139197130503,False
AR,AR,367,basal,0.35798761305228377,0.001225098201870461,0.003548732725903392,17,10.417207663832208,0.005167139197130503,False
CA12,CA12,771,luminal_A,0.25800874541052726,0.00032251340235654936,0.00612248620018363,17,11.361090247278613,0.005167139197130503,False
CAPN8,CAPN8,388743,luminal_B,0.1082117429683649,0.00025001118510472437,0.0036995881237089634,17,10.163385981023707,0.040322926252729215,False
DACH1,DACH1,1602,her2,0.25701856849636734,6.401453710414935e-05,0.007574263960123062,16,9.79412727438608,0.0030821244581748786,False
FSIP1,FSIP1,161835,luminal_B,0.2520864293380359,0.000692059267649909,0.00643417751416564,16,10.343113654386517,0.0036172523024160237,False
HORMAD1,HORMAD1,84072,basal,0.28277140795135614,0.0001221170718592475,0.0056093656457960606,15,9.244471808660087,0.0015322375634603974,True
PGR,PGR,5241,luminal_A,0.3832122918788493,0.00037180659895683224,0.008705799467861652,14,8.361199285114298,0.026747933921579245,False
ANKRD30B,ANKRD30B,374860,basal,0.07950407679614808,1.542565066936153e-05,0.0019154967740178108,13,7.063871232526848,0.00018946570670708604,False
KLK6,KLK6,5653,luminal_B,0.31512374302448026,0.00033547667006873625,0.008509362116456032,11,7.198712693983576,0.06524051265068362,False
KLK7,KLK7,5650,luminal_B,0.30285772664962235,0.0001787970027755853,0.008889260701835155,9,5.996047237796358,0.02858399327900921,False
KRT5,KRT5,3852,normal,0.7490511706458691,0.0034872354432762807,0.008026588708162308,7,4.656023127751693,0.0016009852216748769,False
KLK5,KLK5,25818,luminal_B,0.378560377238172,0.0006477213910350979,0.008990699425339699,7,4.899207435670642,0.0016009852216748769,False
BPIFB1,BPIFB1,92747,luminal_A,0.4689305427817765,5.373765099092148e-05,0.01125048752874136,6,3.216524602586615,0.0,False
IRX1,IRX1,79192,luminal_B,0.30032582602933844,0.0008167852855374954,0.008219191804528236,5,2.917689513671802,0.0,False
KRT6A,KRT6A,3853,basal,0.1414903700351715,6.827004070628578e-06,0.005428927484899759,5,2.9903438299052967,0.0,False
ELOVL2,ELOVL2,54898,her2,0.3687248982968947,0.0013621802616661587,0.008482411503791809,2,1.0523504572283198,0.0,False
PHYHD1,PHYHD1,254295,luminal_A,0.35229977543298696,0.00036319587281893466,0.00967548880726099,2,1.0561289745010567,0.0,False
MUC15,MUC15,143662,luminal_B,0.21867070832414726,2.0771846380583022e-05,0.006299537606537342,2,1.01043125426875,0.0,False
ERBB2,ERBB2,2064,her2,0.6057964897569561,0.0011335245977454982,0.014094685204327106,1,0.8599022948626235,0.0,True
PGAP3,PGAP3,93210,her2,0.4662115845357556,0.0006026848460959901,0.011580212041735649,1,0.8599022948626235,0.0,True
