rank,feature,hugo_symbol,display_label,consensus_importance
1,5241,PGR,PGR,1.0
2,79192,IRX1,IRX1,0.9957142857142857
3,143662,MUC15,MUC15,0.9914285714285714
4,79919,MAB21L4,MAB21L4,0.9828571428571429
5,149563,SRARP,SRARP,0.9785714285714285
6,3852,KRT5,KRT5,0.9742857142857143
7,54898,ELOVL2,ELOVL2,0.97
8,92747,BPIFB1,BPIFB1,0.9657142857142857
9,388743,CAPN8,CAPN8,0.9614285714285714
10,5653,KLK6,KLK6,0.9571428571428572
11,5650,KLK7,KLK7,0.9528571428571428
12,3853,KRT6A,KRT6A,0.9485714285714286
13,161835,FSIP1,FSIP1,0.9442857142857143
14,30010,NXPH1,NXPH1,0.94
15,9,NAT1,NAT1,0.9357142857142857
16,254295,PHYHD1,PHYHD1,0.9314285714285714
17,10551,AGR2,AGR2,0.9271428571428572
18,3169,FOXA1,FOXA1,0.9228571428571428
19,155465,AGR3,AGR3,0.9185714285714286
20,53335,BCL11A,BCL11A,0.9142857142857143
