,PGR,IRX1,MUC15,MAB21L4,SRARP,KRT5,ELOVL2,BPIFB1,CAPN8,KLK6,KLK7,KRT6A,FSIP1,NXPH1,NAT1,PHYHD1,AGR2,FOXA1,AGR3,BCL11A
PGR,1.0,-0.03632064507143154,-0.29769210070500707,-0.15633733199898922,0.5374543072974493,-0.11853575558338403,0.4748613982119498,0.3869242688133391,0.600181087581016,-0.32453492231129305,-0.2232299510451996,-0.3422223561283662,0.5888141665758431,-0.008092522464660322,0.6451152220895006,0.5392260469988244,0.565837597913259,0.599248589521034,0.6845188701392377,-0.4476871481320818
IRX1,-0.03632064507143154,1.0,0.32801843783039697,0.043563981161010554,-0.1454268246929108,0.6066540646393692,-0.05557466022600678,-0.05420360251407519,-0.08406623942898503,0.5761423788903622,0.5722156484687573,0.25499958284928004,-0.2471532764865414,-0.07599995063659834,-0.1506971679215665,0.13390460503393542,-0.26387309495245315,-0.31205370924898235,-0.1918195107898812,0.5431815855514367
MUC15,-0.29769210070500707,0.32801843783039697,1.0,0.18515224064470934,-0.2648544939722786,0.4299764462304937,-0.14519987283481475,-0.10669432658670426,-0.2744719430482327,0.5017294833249557,0.5087017709437942,0.32509026712832717,-0.3395233044642464,-0.04637392275023608,-0.2703008769637834,-0.148862645472353,-0.3089388846449284,-0.39041854921229635,-0.35945555050084077,0.48473995125376634
MAB21L4,-0.15633733199898922,0.043563981161010554,0.18515224064470934,1.0,-0.04839228296225766,0.16248149957752187,-0.1888219343572976,-0.00815822059763884,-0.09237429436762185,0.19189069693393002,0.155258204367322,0.27163842142253164,-0.2167087961213503,0.11898607862202316,-0.10621680821293264,-0.08597412040556104,-0.009426087153083485,-0.03741467881383085,-0.1727323911824958,0.11919626618894874
SRARP,0.5374543072974493,-0.1454268246929108,-0.2648544939722786,-0.04839228296225766,1.0,-0.25346657424697455,0.4629559747539981,0.5348668890737593,0.5929334622091844,-0.4344654408066271,-0.3456276826018343,-0.43049551816019527,0.6125186283406387,0.3338188033800449,0.5684262116866751,0.4819270955266192,0.6965269013214447,0.7190866541681049,0.7285475584313619,-0.5300423800325313
KRT5,-0.11853575558338403,0.6066540646393692,0.4299764462304937,0.16248149957752187,-0.25346657424697455,1.0,-0.08365731470208745,-0.17024343206593712,-0.18328865776738906,0.6933518260541506,0.7328372026126007,0.6477714158519174,-0.2796611014604246,-0.09585823624341516,-0.21215093511300176,0.04234970755650111,-0.27181071320998673,-0.40578907559957045,-0.2704448811991582,0.607759323607081
ELOVL2,0.4748613982119498,-0.05557466022600678,-0.14519987283481475,-0.1888219343572976,0.4629559747539981,-0.08365731470208745,1.0,0.30335364803093984,0.3569048537207325,-0.23089456578031378,-0.13217185020463731,-0.2680654872089619,0.4642445473145733,0.026995603555085637,0.40987950106242527,0.301955606370256,0.36728247880476983,0.41405292629532053,0.48662399707347903,-0.2954768126969695
BPIFB1,0.3869242688133391,-0.05420360251407519,-0.10669432658670426,-0.00815822059763884,0.5348668890737593,-0.17024343206593712,0.30335364803093984,1.0,0.5301690136092931,-0.23151170597823237,-0.16664793088889818,-0.24302736059464947,0.3893365393493198,0.20196848666968711,0.40300935586505615,0.2751072631679181,0.5635285456567863,0.5188186051164307,0.5481026877715032,-0.3626564732565355
CAPN8,0.600181087581016,-0.08406623942898503,-0.2744719430482327,-0.09237429436762185,0.5929334622091844,-0.18328865776738906,0.3569048537207325,0.5301690136092931,1.0,-0.31716704210374713,-0.24390270897562405,-0.32772461123739294,0.533946518125948,0.18625917354401986,0.622154576901223,0.5169029275022323,0.6845716623157788,0.668232135339915,0.7056257421591681,-0.48286252283583
KLK6,-0.32453492231129305,0.5761423788903622,0.5017294833249557,0.19189069693393002,-0.4344654408066271,0.6933518260541506,-0.23089456578031378,-0.23151170597823237,-0.31716704210374713,1.0,0.9025891809461959,0.6031228130556158,-0.46451780861149855,-0.15175789587103333,-0.37989920452795267,-0.14717490733237915,-0.46907968311536563,-0.597092732519485,-0.4593836402395623,0.6492158453932585
KLK7,-0.2232299510451996,0.5722156484687573,0.5087017709437942,0.155258204367322,-0.3456276826018343,0.7328372026126007,-0.13217185020463731,-0.16664793088889818,-0.24390270897562405,0.9025891809461959,1.0,0.5918446228893379,-0.37197944007245576,-0.13369547174744761,-0.30022019627820357,-0.0675165084924493,-0.3793945000817596,-0.5009847043966452,-0.3645672375411033,0.607044737467158
KRT6A,-0.3422223561283662,0.25499958284928004,0.32509026712832717,0.27163842142253164,-0.43049551816019527,0.6477714158519174,-0.2680654872089619,-0.24302736059464947,-0.32772461123739294,0.6031228130556158,0.5918446228893379,1.0,-0.4019422013195503,-0.1523174727499606,-0.3896549343542852,-0.19885017474765743,-0.3555928340924487,-0.4845784994488569,-0.44686834496657457,0.44938196522687346
FSIP1,0.5888141665758431,-0.2471532764865414,-0.3395233044642464,-0.2167087961213503,0.6125186283406387,-0.2796611014604246,0.4642445473145733,0.3893365393493198,0.533946518125948,-0.46451780861149855,-0.37197944007245576,-0.4019422013195503,1.0,0.18649730778461904,0.6347488992286792,0.33351632901628625,0.6642661543889495,0.7093372726655923,0.7367880240400349,-0.6143025365878235
NXPH1,-0.008092522464660322,-0.07599995063659834,-0.04637392275023608,0.11898607862202316,0.3338188033800449,-0.09585823624341516,0.026995603555085637,0.20196848666968711,0.18625917354401986,-0.15175789587103333,-0.13369547174744761,-0.1523174727499606,0.18649730778461904,1.0,0.18952531652664956,0.06495796500768758,0.3305166648946053,0.34442364830967953,0.22959949023487852,-0.16339478084925133
NAT1,0.6451152220895006,-0.1506971679215665,-0.2703008769637834,-0.10621680821293264,0.5684262116866751,-0.21215093511300176,0.40987950106242527,0.40300935586505615,0.622154576901223,-0.37989920452795267,-0.30022019627820357,-0.3896549343542852,0.6347488992286792,0.18952531652664956,1.0,0.4382082951142138,0.6216694797160918,0.6485828098012052,0.7489770132647788,-0.5274798083599157
PHYHD1,0.5392260469988244,0.13390460503393542,-0.148862645472353,-0.08597412040556104,0.4819270955266192,0.04234970755650111,0.301955606370256,0.2751072631679181,0.5169029275022323,-0.14717490733237915,-0.0675165084924493,-0.19885017474765743,0.33351632901628625,0.06495796500768758,0.4382082951142138,1.0,0.3651159430456631,0.39717511348170775,0.45140414019810554,-0.21500445351470537
