source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
5241,155465,5241,155465,0.6845188701392377,0.6845188701392377,positive
5241,771,5241,771,0.672091489821744,0.672091489821744,positive
5241,158046,5241,158046,0.7053815978794358,0.7053815978794358,positive
5241,256394,5241,256394,0.6732934256381686,0.6732934256381686,positive
5241,152110,5241,152110,0.6742794577252538,0.6742794577252538,positive
5241,57758,5241,57758,0.696728784655448,0.696728784655448,positive
5241,203328,5241,203328,0.6938627766990384,0.6938627766990384,positive
5241,2099,5241,2099,0.6829421536150007,0.6829421536150007,positive
5241,285386,5241,285386,0.6507861676264537,0.6507861676264537,positive
5241,7802,5241,7802,0.6613617682232336,0.6613617682232336,positive
5241,11122,5241,11122,0.6625370034207223,0.6625370034207223,positive
5241,4137,5241,4137,0.7168857291629306,0.7168857291629306,positive
79192,130497,79192,130497,0.6730257280315143,0.6730257280315143,positive
79192,1908,79192,1908,0.663957365826398,0.663957365826398,positive
79192,6663,79192,6663,0.7363308066740671,0.7363308066740671,positive
79192,8190,79192,8190,0.7094857027683177,0.7094857027683177,positive
79192,6422,79192,6422,0.7038413880172311,0.7038413880172311,positive
79192,84417,79192,84417,0.6559240468796631,0.6559240468796631,positive
149563,10551,149563,10551,0.6965269013214447,0.6965269013214447,positive
149563,3169,149563,3169,0.7190866541681049,0.7190866541681049,positive
149563,155465,149563,155465,0.7285475584313619,0.7285475584313619,positive
149563,771,149563,771,0.659716737253232,0.659716737253232,positive
149563,80736,149563,80736,0.7008248269709462,0.7008248269709462,positive
149563,7031,149563,7031,0.6715993360924759,0.6715993360924759,positive
149563,222171,149563,222171,0.7070154394887294,0.7070154394887294,positive
149563,143941,149563,143941,0.6916794887377848,0.6916794887377848,positive
149563,2099,149563,2099,0.6909246878660418,0.6909246878660418,positive
149563,25803,149563,25803,0.7219600658501932,0.7219600658501932,positive
149563,2066,149563,2066,0.6690243984319322,0.6690243984319322,positive
149563,7802,149563,7802,0.6889950580528306,0.6889950580528306,positive
149563,8537,149563,8537,0.6839192033893429,0.6839192033893429,positive
149563,7033,149563,7033,0.722352870017622,0.722352870017622,positive
149563,79083,149563,79083,0.7454792604344292,0.7454792604344292,positive
3852,5653,3852,5653,0.6933518260541506,0.6933518260541506,positive
3852,5650,3852,5650,0.7328372026126007,0.7328372026126007,positive
3852,25818,3852,25818,0.7190811007333446,0.7190811007333446,positive
3852,1308,3852,1308,0.6867661610469855,0.6867661610469855,positive
3852,3854,3852,3854,0.864158414657361,0.864158414657361,positive
3852,2568,3852,2568,0.7295818243601261,0.7295818243601261,positive
3852,3861,3852,3861,0.8753836701840363,0.8753836701840363,positive
3852,6663,3852,6663,0.6672957179802308,0.6672957179802308,positive
3852,8424,3852,8424,0.682703593136035,0.682703593136035,positive
3852,3872,3852,3872,0.8925477490218844,0.8925477490218844,positive
3852,8190,3852,8190,0.6713642826326547,0.6713642826326547,positive
3852,5268,3852,5268,0.7265766906072343,0.7265766906072343,positive
3852,6422,3852,6422,0.693035700883133,0.693035700883133,positive
3852,6273,3852,6273,0.7042629139541992,0.7042629139541992,positive
3852,1825,3852,1825,0.8594502948082328,0.8594502948082328,positive
3852,653145,3852,653145,0.8524848262708012,0.8524848262708012,positive
3852,1830,3852,1830,0.8141144331848207,0.8141144331848207,positive
3852,3868,3852,3868,0.7096325890017372,0.7096325890017372,positive
3852,286887,3852,286887,0.7031900493159728,0.7031900493159728,positive
3852,2196,3852,2196,0.8299107963095145,0.8299107963095145,positive
3852,23650,3852,23650,0.7695825619272101,0.7695825619272101,positive
388743,10551,388743,10551,0.6845716623157788,0.6845716623157788,positive
388743,3169,388743,3169,0.668232135339915,0.668232135339915,positive
388743,155465,388743,155465,0.7056257421591681,0.7056257421591681,positive
388743,80736,388743,80736,0.6772618406276933,0.6772618406276933,positive
388743,7031,388743,7031,0.7279607900080265,0.7279607900080265,positive
388743,222171,388743,222171,0.6719506958511505,0.6719506958511505,positive
388743,94122,388743,94122,0.651518736604997,0.651518736604997,positive
388743,7033,388743,7033,0.6819460332271234,0.6819460332271234,positive
388743,79083,388743,79083,0.7161321462122894,0.7161321462122894,positive
5653,5650,5653,5650,0.9025891809461959,0.9025891809461959,positive
5653,25818,5653,25818,0.8972854266359789,0.8972854266359789,positive
5653,81706,5653,81706,0.729371731854309,0.729371731854309,positive
5653,3854,5653,3854,0.7742087956463801,0.7742087956463801,positive
5653,2568,5653,2568,0.7392269934733928,0.7392269934733928,positive
5653,5655,5653,5655,0.7474442532925069,0.7474442532925069,positive
5653,51442,5653,51442,0.6920299178045699,0.6920299178045699,positive
5653,11202,5653,11202,0.8583856238074952,0.8583856238074952,positive
5653,8424,5653,8424,0.6779910257954782,0.6779910257954782,positive
