original_gene_id,hugo_symbol,mean_abs_shap_basal,mean_abs_shap_her2,mean_abs_shap_luminal_A,mean_abs_shap_luminal_B,mean_abs_shap_normal,mean_abs_shap_overall
10002,NR2E3,0.004220470846979767,0.008292446486456245,0.0007290553861164936,0.013906333628710854,0.0006643558565882853,0.005562532440970329
1001,CDH3,0.0050040369489117754,0.00515662962835265,0.0038477243499345703,0.027536695413865737,0.013528289637310202,0.011014675195674988
100128927,ZBTB42,0.0039200982136189475,0.005674433705570552,0.004586590219400584,0.003468747197150397,0.0028721582851504507,0.004104405524178186
100129583,FAM47E,0.007290645578005028,0.0016127199611684299,0.006763851867213928,0.005566588078987915,0.004480699545615144,0.005142901006198089
100129842,ZNF737,0.005960211461252138,0.001073218545153808,0.011172138600319176,0.011610396187346833,0.005325255999951294,0.00702824415880465
100132994,CXorf49B,0.007320930049712847,0.0009945783868876839,0.00786560567609905,0.00011499068822992052,0.0014243153715643112,0.003544084034498762
10017,BCL2L10,0.00638154144833465,0.004032471540673546,0.005095118279917429,0.0019864171016353146,0.0007597260020955564,0.003651054874531299
100170841,EPOP,0.0015022180971864343,0.017861324046028047,0.003425203828892533,0.02551697893107521,0.002728226409798932,0.010206790262596232
100191040,C2CD4D,0.005986903984446239,0.0018381823860113022,0.00035166098836663875,0.0022668469693979103,0.0015300004793183987,0.002394718961508098
10024,TROAP,0.0058926257026138155,0.0026616039165048154,0.013185913301357483,0.01128780083987336,0.0066560910112612795,0.00793680695432215
10103,TSPAN1,0.008786780359692013,0.005325418550217547,0.005993761884232176,0.0019817580251954353,0.000550574495078435,0.004527658662883122
10112,KIF20A,0.004454526324098077,0.00822825867287591,0.010955210593923898,0.008668772142090251,0.010396440998581905,0.008540641746314009
10129,FRY,0.006145059172418343,0.002862590666497583,0.00048664960688614114,0.0022886977870118725,0.005084554033168701,0.003373510253196528
10140,TOB1,0.007388866727872167,0.016835107546365188,0.002450638993833791,0.002102789792782202,0.00979413949228761,0.007714308510628191
