subtype,rank,original_gene_id,hugo_symbol,mean_abs_shap
basal,1,85320,ABCC11,0.017641514741158944
basal,2,2064,ERBB2,0.01592398476778188
basal,3,7681,MKRN3,0.015845276748408726
basal,4,26996,GPR160,0.015640325199747306
basal,5,276,AMY1A,0.015498369243826401
basal,6,3787,KCNS1,0.01520092266799816
basal,7,2296,FOXC1,0.015079839320373956
basal,8,64800,EFCAB6,0.014624901514422367
basal,9,94160,ABCC12,0.014465799094378382
basal,10,57512,GPR158,0.013700029128708779
her2,1,2064,ERBB2,0.03234857203037977
her2,2,12,SERPINA3,0.02849699320812742
her2,3,93210,PGAP3,0.026558174644499243
her2,4,84152,PPP1R1B,0.026249293587091656
her2,5,3938,LCT,0.024041080236812347
her2,6,30010,NXPH1,0.023928437962769417
her2,7,5267,SERPINA4,0.023889671252061595
her2,8,57016,AKR1B10,0.023535618245288638
her2,9,3480,IGF1R,0.023473178929588338
her2,10,5104,SERPINA5,0.023195843120466096
luminal_A,1,339674,SMIM45,0.030376865043781807
luminal_A,2,93594,TBC1D31,0.02928854091307622
luminal_A,3,92747,BPIFB1,0.028126187385091744
luminal_A,4,7379,UPK2,0.027775153444903184
luminal_A,5,27127,SMC1B,0.027400218173338497
luminal_A,6,8701,DNAH11,0.027335405013496822
luminal_A,7,56892,TCIM,0.027128763280580753
luminal_A,8,3212,HOXB2,0.026406983944712335
luminal_A,9,401498,TMEM215,0.026085447631718422
luminal_A,10,8001,GLRA3,0.025807495227331393
luminal_B,1,51207,DUSP13B,0.03637665286962555
luminal_B,2,84152,PPP1R1B,0.03352444049252013
luminal_B,3,9415,FADS2,0.03085641111379211
luminal_B,4,1672,DEFB1,0.03077515417304748
luminal_B,5,25789,TMEM59L,0.030367274362343055
luminal_B,6,93594,TBC1D31,0.029927875669412116
luminal_B,7,342667,STAC2,0.029100711653269655
luminal_B,8,10560,SLC19A2,0.02881645892424845
luminal_B,9,10143,CLEC3A,0.027791101687389342
luminal_B,10,1001,CDH3,0.027536695413865737
normal,1,58503,OPRPN,0.024455393472264254
normal,2,165530,CLEC4F,0.023650222112114625
normal,3,10753,CAPN9,0.023586729248902382
normal,4,339674,SMIM45,0.02306773530367258
normal,5,2893,GRIA4,0.022406647080227843
normal,6,1960,EGR3,0.021443392119195145
normal,7,1264,CNN1,0.021428930254078944
normal,8,3161,HMMR,0.02116885922399498
normal,9,259,AMBP,0.020852153076578835
normal,10,117195,MRGPRX3,0.020766811880427984
