subtype,rank,original_gene_id,hugo_symbol,mean_abs_shap
basal,1,25789,TMEM59L,0.011405201135743812
basal,2,2296,FOXC1,0.00993148004116682
basal,3,84189,SLITRK6,0.009261347836779869
basal,4,90249,UNC5A,0.009072830109048203
basal,5,339674,SMIM45,0.009034612890575642
basal,6,3747,KCNC2,0.00894494831485719
basal,7,79170,PRR15L,0.008871265881633318
basal,8,127254,ERICH3,0.008831928163156321
basal,9,284904,SEC14L4,0.00866238420788456
basal,10,9413,ENTREP1,0.008590690248159458
her2,1,25789,TMEM59L,0.015734645781246264
her2,2,84189,SLITRK6,0.012923099736926884
her2,3,90249,UNC5A,0.012639175759953996
her2,4,6512,SLC1A7,0.012047271198773453
her2,5,3747,KCNC2,0.012019855120925337
her2,6,10143,CLEC3A,0.011772638614499674
her2,7,339674,SMIM45,0.011744349837762078
her2,8,9413,ENTREP1,0.011461135423839936
her2,9,3930,LBR,0.011303029587665492
her2,10,127254,ERICH3,0.011220065309748832
luminal_A,1,25789,TMEM59L,0.019510887323212493
luminal_A,2,84189,SLITRK6,0.016419230661796
luminal_A,3,339674,SMIM45,0.015570494036851136
luminal_A,4,90249,UNC5A,0.015520834625619397
luminal_A,5,3747,KCNC2,0.015484820271003442
luminal_A,6,6512,SLC1A7,0.014843624541416672
luminal_A,7,3930,LBR,0.014744968638893127
luminal_A,8,10143,CLEC3A,0.014386987997418164
luminal_A,9,127254,ERICH3,0.01401702307987307
luminal_A,10,9413,ENTREP1,0.013875631595192782
luminal_B,1,25789,TMEM59L,0.018960751408611535
luminal_B,2,10143,CLEC3A,0.014829722141084812
luminal_B,3,84189,SLITRK6,0.014348627604987218
luminal_B,4,51207,DUSP13B,0.01427307242491454
luminal_B,5,90249,UNC5A,0.014124139835799649
luminal_B,6,3930,LBR,0.013933986902832875
luminal_B,7,9413,ENTREP1,0.013835584948936936
luminal_B,8,3747,KCNC2,0.013716256414311932
luminal_B,9,1124,CHN2,0.01326864713554307
luminal_B,10,54777,CFAP46,0.013198026658916841
normal,1,25789,TMEM59L,0.007228896626147663
normal,2,339674,SMIM45,0.006587910310982732
normal,3,54777,CFAP46,0.006505349968710117
normal,4,6512,SLC1A7,0.0058989363964978645
normal,5,84189,SLITRK6,0.005751258120877405
normal,6,90249,UNC5A,0.005508654579821141
normal,7,6583,SLC22A4,0.0054898015541591195
normal,8,3747,KCNC2,0.005435392821918134
normal,9,10143,CLEC3A,0.005380158665653486
normal,10,127254,ERICH3,0.0052539575031364995
