rank,gene_symbol
1,PGR
2,IRX1
3,MUC15
4,MAB21L4
5,SRARP
6,KRT5
7,ELOVL2
8,BPIFB1
9,CAPN8
10,KLK6
11,KLK7
12,KRT6A
13,FSIP1
14,NXPH1
15,NAT1
16,PHYHD1
17,AGR2
18,FOXA1
19,AGR3
20,BCL11A
21,CA12
22,PPP1R1B
23,AFF3
24,AR
25,ANKRD30B
26,KLK5
27,SLC5A1
28,PPP1R14C
29,DACH1
30,HSD17B2
31,ABCA12
32,SERHL2
33,NXNL2
34,S100A8
35,WNK4
36,COL17A1
37,HMGCS2
38,ART3
39,SCGB1D2
40,OSR1
41,CADM3
42,SLC44A4
43,TFF1
44,CHI3L2
45,SERPINA11
46,PRR15
47,ADH1B
48,ERICH3
49,NBPF4
50,KRT23
51,S100A9
52,IL33
53,KRT6B
54,GABRP
55,NEK10
56,TTC36
57,SCUBE2
58,FUT3
59,C2CD4A
60,KRT14
61,SLPI
62,SPINK8
63,KLK10
64,KLHDC7A
65,A2ML1
66,SERPINA5
67,ANKRD30A
68,DHRS2
69,KRT81
70,TRPV6
71,CD300LG
72,VGLL1
73,EDN3
74,SYT9
75,CLDN8
76,SUSD3
77,FDCSP
78,PIP
79,SLC6A14
80,CAPN13
81,NPY1R
82,CST9
83,ATP13A4
84,SOX10
85,AQP5
86,FABP7
87,CALML5
88,PGLYRP2
89,SCGB2A2
90,C4BPA
91,DSG1
92,PIK3C2G
93,SYTL5
94,GRPR
95,CXCL2
96,ACE2
97,KLK8
98,PRAME
99,SERPINA6
100,ESR1
101,LRP2
102,BBOX1
103,RELN
104,GABBR2
105,TMPRSS6
106,WIF1
107,CALML3
108,KRT17
109,ACKR1
110,DEFB1
111,CHAD
112,MIA
113,MAPK4
114,TPRG1
115,GRIA4
116,OPRPN
117,SPDEF
118,SERPINB5
119,PTPRZ1
120,CYP4Z1
121,SFRP1
122,C7
123,S100A2
124,ERBB4
125,SERPINA3
126,IGFALS
127,SMYD1
128,UGT2B28
129,RBM24
130,SORCS1
131,KCNJ3
132,KRT15
133,PROM1
134,SOX11
135,CT83
136,CRABP1
137,DSC3
138,CA9
139,CAPN6
140,GLYATL2
141,PSAT1
142,CEACAM5
143,DNALI1
144,ANXA8
145,BCAS1
146,SYT8
147,CLCA2
148,TFAP2B
149,MRGPRX3
150,ABCC11
151,UGT2B11
152,SOSTDC1
153,PTPRT
154,TBX10
155,DSG3
156,SLC34A2
157,KRT16
158,GP2
159,CPB1
160,ECRG4
161,MAPT
162,HORMAD1
163,CASP14
164,KRT6C
165,TP63
166,FAT2
167,CLIC6
168,GFRA1
169,FOLR1
170,TFF3
171,ABCC8
172,PTN
173,STAC2
174,LTF
175,PLPPR3
176,LY6D
177,SAA2
178,MSLN
179,AKR1B10
180,TRIM29
181,SAA1
182,MLPH
183,PDZK1
184,HS3ST4
185,MUCL1
186,ATP13A5
187,DCDC2
188,PNMT
