consensus_rank,source_feature,master_column,hugo_symbol
1,5241,5241,PGR
2,79192,79192,IRX1
3,143662,143662,MUC15
4,3929,3929,LBP
5,79919,79919,MAB21L4
6,149563,149563,SRARP
7,3852,3852,KRT5
8,54898,54898,ELOVL2
9,92747,92747,BPIFB1
10,388743,388743,CAPN8
11,5653,5653,KLK6
12,5650,5650,KLK7
13,3853,3853,KRT6A
14,161835,161835,FSIP1
15,30010,30010,NXPH1
16,9,9,NAT1
17,254295,254295,PHYHD1
18,10551,10551,AGR2
19,3169,3169,FOXA1
20,155465,155465,AGR3
21,53335,53335,BCL11A
22,771,771,CA12
23,84152,84152,PPP1R1B
24,3899,3899,AFF3
25,367,367,AR
26,374860,374860,ANKRD30B
27,221476,221476,PI16
28,286133,286133,SCARA5
29,2264,2264,FGFR4
30,25818,25818,KLK5
31,6557,6557,SLC12A1
32,6523,6523,SLC5A1
33,81706,81706,PPP1R14C
34,1602,1602,DACH1
35,3294,3294,HSD17B2
36,26154,26154,ABCA12
37,253190,253190,SERHL2
38,158046,158046,NXNL2
39,6279,6279,S100A8
40,65266,65266,WNK4
41,1308,1308,COL17A1
42,3158,3158,HMGCS2
43,419,419,ART3
44,10647,10647,SCGB1D2
45,130497,130497,OSR1
46,57863,57863,CADM3
47,80736,80736,SLC44A4
48,7031,7031,TFF1
49,1117,1117,CHI3L2
50,256394,256394,SERPINA11
51,222171,222171,PRR15
52,10321,10321,CRISP3
53,125,125,ADH1B
54,127254,127254,ERICH3
55,148545,148545,NBPF4
56,25984,25984,KRT23
57,6280,6280,S100A9
58,90865,90865,IL33
59,3854,3854,KRT6B
60,2568,2568,GABRP
61,152110,152110,NEK10
62,143941,143941,TTC36
63,57758,57758,SCUBE2
64,2525,2525,FUT3
65,145741,145741,C2CD4A
66,3861,3861,KRT14
67,6590,6590,SLPI
68,646424,646424,SPINK8
69,5655,5655,KLK10
70,5284,5284,PIGR
71,127707,127707,KLHDC7A
72,124872,124872,B4GALNT2
73,144568,144568,A2ML1
74,5104,5104,SERPINA5
75,4604,4604,MYBPC1
76,91074,91074,ANKRD30A
77,10202,10202,DHRS2
78,3887,3887,KRT81
79,55503,55503,TRPV6
80,146894,146894,CD300LG
81,51442,51442,VGLL1
82,1908,1908,EDN3
83,143425,143425,SYT9
84,9073,9073,CLDN8
85,203328,203328,SUSD3
86,260436,260436,FDCSP
87,5304,5304,PIP
88,11254,11254,SLC6A14
89,92291,92291,CAPN13
90,4886,4886,NPY1R
91,4588,4588,MUC6
92,128822,128822,CST9
93,84239,84239,ATP13A4
94,6663,6663,SOX10
95,362,362,AQP5
96,2173,2173,FABP7
97,51806,51806,CALML5
98,114770,114770,PGLYRP2
99,4250,4250,SCGB2A2
100,722,722,C4BPA
101,1828,1828,DSG1
102,5288,5288,PIK3C2G
103,94122,94122,SYTL5
104,2925,2925,GRPR
105,2920,2920,CXCL2
106,59272,59272,ACE2
107,284340,284340,CXCL17
108,11202,11202,KLK8
109,23532,23532,PRAME
110,866,866,SERPINA6
111,2099,2099,ESR1
112,4036,4036,LRP2
113,8424,8424,BBOX1
114,5649,5649,RELN
115,9568,9568,GABBR2
116,338324,338324,S100A7A
117,164656,164656,TMPRSS6
118,11197,11197,WIF1
119,810,810,CALML3
120,117159,117159,DCD
121,3872,3872,KRT17
122,2532,2532,ACKR1
123,1672,1672,DEFB1
124,7138,7138,TNNT1
125,1101,1101,CHAD
126,8190,8190,MIA
127,5596,5596,MAPK4
128,285386,285386,TPRG1
129,2893,2893,GRIA4
130,58503,58503,OPRPN
131,25803,25803,SPDEF
132,5268,5268,SERPINB5
133,5803,5803,PTPRZ1
134,199974,199974,CYP4Z1
135,6422,6422,SFRP1
136,10481,10481,HOXB13
137,730,730,C7
138,6273,6273,S100A2
139,2066,2066,ERBB4
140,12,12,SERPINA3
141,3483,3483,IGFALS
142,150572,150572,SMYD1
143,54490,54490,UGT2B28
144,221662,221662,RBM24
145,114815,114815,SORCS1
146,3760,3760,KCNJ3
147,6278,6278,S100A7
148,3866,3866,KRT15
149,1244,1244,ABCC2
150,8842,8842,PROM1
151,6664,6664,SOX11
152,51702,51702,PADI3
153,203413,203413,CT83
154,1381,1381,CRABP1
155,1825,1825,DSC3
156,768,768,CA9
157,827,827,CAPN6
158,339479,339479,BRINP3
159,219970,219970,GLYATL2
160,29968,29968,PSAT1
161,1048,1048,CEACAM5
162,7802,7802,DNALI1
163,653145,653145,ANXA8
164,8537,8537,BCAS1
165,90019,90019,SYT8
166,9635,9635,CLCA2
167,7021,7021,TFAP2B
168,117195,117195,MRGPRX3
169,85320,85320,ABCC11
170,10720,10720,UGT2B11
171,1620,1620,BRINP1
172,25928,25928,SOSTDC1
173,11122,11122,PTPRT
174,347853,347853,TBX10
175,1830,1830,DSG3
176,10568,10568,SLC34A2
177,3868,3868,KRT16
178,2813,2813,GP2
179,10562,10562,OLFM4
180,1360,1360,CPB1
181,56165,56165,TDRD1
