Gene,Parent_Anchor,PubMed_Breast_Cancer_Hits,Best_Target_Subtype,OvR_ROC_AUC,ANOVA_p,Novelty_Tier
SLC66A2,SYCE1L,4,normal,0.7343327454438565,1.6762769e-36,ULTRA-NOVEL (<=5 Hits)
SLX9,SYCE1L,5,basal,0.7649231102447476,1.5110354e-29,ULTRA-NOVEL (<=5 Hits)
PWWP3A,TEKTIP1,5,luminal_A,0.7015691133303952,3.8352603e-31,ULTRA-NOVEL (<=5 Hits)
ZNF628,SYCE1L,15,luminal_B,0.6127143116129701,2.0192103e-06,HIGHLY NOVEL (<=25 Hits)
DDTL,SYCE1L,17,basal,0.6042812793300122,1.562241e-09,HIGHLY NOVEL (<=25 Hits)
TPGS1,SYCE1L,19,luminal_A,0.6054557247274632,1.1951946e-09,HIGHLY NOVEL (<=25 Hits)
CLASRP,TEKTIP1,22,luminal_B,0.6066540194758105,2.8160269e-08,HIGHLY NOVEL (<=25 Hits)
RBM42,SYCE1L,33,basal,0.6759872933362213,3.55004e-14,ESTABLISHED
INO80B,SYCE1L,49,luminal_B,0.5990948409820782,1.1692372e-05,ESTABLISHED
ENGASE,TEKTIP1,50,her2,0.604906721185791,0.02649711,ESTABLISHED
ADAT3,SYCE1L,59,luminal_B,0.6466933854760178,3.81831e-09,ESTABLISHED
CCDC85B,SYCE1L,60,normal,0.6398589065255731,2.3329996e-07,ESTABLISHED
GIGYF1,TEKTIP1,64,her2,0.6860110174063663,4.665476e-15,ESTABLISHED
CAVIN3,SYCE1L,74,luminal_B,0.730232829172278,1.4357782e-33,ESTABLISHED
ABHD17A,SYCE1L,74,luminal_B,0.642008960944784,5.172503e-10,ESTABLISHED
CROCC,TEKTIP1,84,luminal_A,0.6434986154882378,1.388736e-19,ESTABLISHED
CHST12,SYCE1L,85,normal,0.6854203409758964,8.048612e-15,ESTABLISHED
LENG8,TEKTIP1,89,normal,0.6417107583774251,5.2549872e-08,ESTABLISHED
PPP1R12C,TEKTIP1,108,normal,0.6572310405643738,1.2746915e-07,ESTABLISHED
MAPK8IP3,TEKTIP1,128,her2,0.6923076923076923,7.8200346e-12,ESTABLISHED
CAPN10,TEKTIP1,134,luminal_B,0.576384932145447,0.0009850409,ESTABLISHED
MIB2,SYCE1L,136,luminal_B,0.6607725577540661,4.6376477e-17,ESTABLISHED
PPP1R14A,SYCE1L,172,normal,0.8281893004115226,7.1711354e-34,ESTABLISHED
HOOK2,TEKTIP1,197,luminal_A,0.6288427477361362,6.3722617e-12,ESTABLISHED
SNRNP70,TEKTIP1,285,luminal_B,0.5908590593597844,5.1569793e-07,ESTABLISHED
MAFK,TEKTIP1,461,normal,0.6592886537330983,3.6357362e-09,ESTABLISHED
CACTIN,TEKTIP1,684,luminal_B,0.6273438309333885,2.4716615e-09,ESTABLISHED
TSPO,SYCE1L,889,basal,0.7460472168074507,2.0722397e-35,ESTABLISHED
PKD1,TEKTIP1,1360,normal,0.66494708994709,1.989249e-14,ESTABLISHED
DOT1L,TEKTIP1,1454,basal,0.6249223882752148,4.526427e-08,ESTABLISHED
