rank,original_gene_id,hugo_symbol,mean_abs_shap_overall
1,2099,ESR1,0.008066640931452524
2,80129,CCDC170,0.00517404514481307
3,2296,FOXC1,0.004653513581994397
4,27202,C5AR2,0.004384631055963146
5,8190,MIA,0.0038900607670570714
6,155465,AGR3,0.0034906655674072614
7,2625,GATA3,0.003311206347030988
8,79083,MLPH,0.003179330647194411
9,3169,FOXA1,0.0031262468677765278
10,10551,AGR2,0.0029441619873957032
11,9,NAT1,0.002791988070567123
12,3852,KRT5,0.0025033135006899067
13,151648,SGO1,0.002491166783505513
14,135295,SRSF12,0.002339373188153417
15,6422,SFRP1,0.002239927845475705
16,9156,EXO1,0.002198643577073977
17,7494,XBP1,0.0021657059664605435
18,25803,SPDEF,0.0021531031502154915
19,114818,KLHL29,0.0020435648068528227
20,6663,SOX10,0.0020371952280678995
21,222171,PRR15,0.002023396614546114
22,6790,AURKA,0.001961815708774516
23,54847,SIDT1,0.001958004554722862
24,9687,GREB1,0.0019541377597108466
25,201895,SMIM14,0.001905287934735344
26,11170,FAM107A,0.0019037856129078708
27,8200,GDF5,0.0019008562343161492
28,2247,FGF2,0.0019005830577708104
29,2196,FAT2,0.0018995510829216216
30,79875,THSD4,0.0018623268905252487
31,22974,TPX2,0.0018474508876628816
32,85377,MICALL1,0.001758793208410786
33,55388,MCM10,0.0016941587312803174
34,2568,GABRP,0.0016873041458367517
35,29089,UBE2T,0.001624488252545434
36,11240,PADI2,0.001607152091604541
37,699,BUB1,0.001593603012844874
38,55165,CEP55,0.0015481007250411729
39,25800,SLC39A6,0.0015396818582139647
40,55793,MINDY1,0.0015207555305920314
41,8404,SPARCL1,0.0015004454426237838
42,79075,DSCC1,0.0014752985408244767
43,128822,CST9,0.0014604003108421178
44,9635,CLCA2,0.001421048883904906
45,7200,TRH,0.001414311977910195
46,3480,IGF1R,0.0013879067019494172
47,158046,NXNL2,0.0013876315137111431
48,221061,FAM171A1,0.0013857259717040202
49,983,CDK1,0.001384601808144913
50,56204,ATOSA,0.001376688124444517
51,285600,KIAA0825,0.0013631950577146588
52,23397,NCAPH,0.0013179909069212094
53,6478,SIAH2,0.0013170166909256987
54,7802,DNALI1,0.0012906055351824715
55,3861,KRT14,0.0012903806678949666
56,283987,HID1,0.0012808406028445665
57,5764,PTN,0.0012753904226530705
58,53335,BCL11A,0.0012728654605636837
59,23158,TBC1D9,0.0012696532361871854
60,112616,CMTM7,0.0012672861544911229
61,85004,RERG,0.001266907188365533
62,6330,SCN4B,0.001254750280499505
63,203328,SUSD3,0.0012528188052649601
64,79192,IRX1,0.0012489402586414449
65,7033,TFF3,0.0012428688612391486
66,7272,TTK,0.001195071097056626
67,57580,PREX1,0.0011748532521829906
68,6376,CX3CL1,0.0011636964518749137
69,5918,RARRES1,0.001152501122157972
70,10200,MPHOSPH6,0.0011364890831974538
71,128153,SPATA17,0.0011336406769005274
72,890,CCNA2,0.0011334446428091188
73,8436,CAVIN2,0.0011315302989315318
74,2305,FOXM1,0.0011217320730594108
75,57222,ERGIC1,0.0011194591120522596
76,367,AR,0.0011067684627221919
77,83540,NUF2,0.0010971352391796296
78,827,CAPN6,0.0010966674284923535
79,123099,DEGS2,0.0010955122532575387
80,81706,PPP1R14C,0.0010929177823201725
81,130497,OSR1,0.0010616951963225059
82,9787,DLGAP5,0.0010571631800294031
83,993,CDC25A,0.0010562840310047587
84,1308,COL17A1,0.0010491705100939865
85,1058,CENPA,0.001048633435422794
86,5366,PMAIP1,0.0010481265618672187
87,26996,GPR160,0.0010360693273209788
88,85480,TSLP,0.0010352936488351183
89,90506,LRRC46,0.0010200426548884825
90,161835,FSIP1,0.0010050569632904607
91,8416,ANXA9,0.000984085659278665
92,3263,HPX,0.0009723348685336534
93,59272,ACE2,0.0009699865137939067
94,5596,MAPK4,0.0009662703342999141
95,375035,SFT2D2,0.000956626789821406
96,27190,IL17B,0.0009522225671010406
97,84417,ECRG4,0.000946592371153983
98,2066,ERBB4,0.0009365427823278579
99,93273,LEMD1,0.0009356802144635783
100,596,BCL2,0.0009296318568697617
101,85320,ABCC11,0.0009259271376982934
102,220134,SKA1,0.0009233006627482292
103,55839,CENPN,0.0009144331830524844
104,344905,ATP13A5,0.0009073499533632904
105,9837,GINS1,0.0009033553458246445
106,4099,MAG,0.000901237085391391
107,7783,ZP2,0.0008946008347206949
108,9134,CCNE2,0.0008857781010755628
109,84002,B3GNT5,0.0008803495515811953
110,1033,CDKN3,0.0008780307288655661
111,143941,TTC36,0.0008743884016657879
112,146909,KIF18B,0.000870104895243188
113,27124,INPP5J,0.00086916767683977
114,64151,NCAPG,0.0008604441924337699
115,55612,FERMT1,0.0008602153375886403
116,23650,TRIM29,0.0008542900449747112
117,79818,ZNF552,0.000850028018184165
118,10612,TRIM3,0.0008371467243370994
119,149563,SRARP,0.0008353836136141714
120,4629,MYH11,0.0008295208034275935
121,93210,PGAP3,0.0008290284865079258
122,3872,KRT17,0.0008286677953276819
123,3899,AFF3,0.0008283226119359435
124,10253,SPRY2,0.0008232686940645991
125,8821,INPP4B,0.0008232199173893284
126,55355,HJURP,0.00081412429401331
127,9133,CCNB2,0.0008081824117656663
128,79624,DCPH1,0.000793701492724793
129,81611,ANP32E,0.0007936897419382954
130,771,CA12,0.0007908517674992969
131,22901,ARSG,0.000780914397526586
132,57758,SCUBE2,0.0007720035195849129
133,55273,TMEM100,0.0007682384721538
134,8537,BCAS1,0.0007680831782478272
135,4605,MYBL2,0.0007653177931215996
136,9833,MELK,0.0007472492381419725
137,140803,TRPM6,0.0007463153876667005
138,115677,NOSTRIN,0.000746103233749629
139,3854,KRT6B,0.0007422884847011356
140,11065,UBE2C,0.0007371751620370336
141,80309,SPHKAP,0.0007345792424452733
142,90865,IL33,0.0007343717523969293
143,81610,SACK1D,0.0007315143869148033
144,51203,NUSAP1,0.0007224923596559245
145,23428,SLC7A8,0.0007222708289484904
146,5347,PLK1,0.0007175915894720929
147,2670,GFAP,0.0007161562576362652
148,5806,PTX3,0.0007119687053346084
149,3779,KCNMB1,0.0007068940900949804
150,6358,CCL14,0.000701542242161128
151,23594,ORC6,0.0007014291729514902
152,11004,KIF2C,0.000700806917246336
153,92291,CAPN13,0.0006995170457521229
154,1672,DEFB1,0.0006927778650613248
155,10103,TSPAN1,0.0006922599995234113
156,4886,NPY1R,0.0006920613272300588
157,23371,TNS2,0.0006910250699301443
158,9911,TMCC2,0.0006822380529987475
159,6285,S100B,0.0006686546807201007
160,29968,PSAT1,0.0006639502478232429
161,990,CDC6,0.000653321659370727
162,54463,RETREG1,0.0006507996108728048
163,6263,RYR3,0.0006493100329558945
164,4288,MKI67,0.000645164205652462
165,1825,DSC3,0.0006450747629336394
166,64843,ISL2,0.000638934065540541
167,84612,PARD6B,0.0006369236851680179
168,342667,STAC2,0.0006367923708695499
169,91653,BOC,0.0006346931083678512
170,6664,SOX11,0.0006325846901879711
171,653820,RUMY2,0.0006324468611169137
172,5241,PGR,0.0006313159834598741
173,11197,WIF1,0.0006284256966308714
174,51442,VGLL1,0.0006204614279058213
175,9120,SLC16A6,0.000607314197863324
176,729533,RUMY1,0.0006066604418706765
177,2813,GP2,0.0006039542797272857
178,401546,C9orf152,0.0005988295020782278
179,120224,TMEM45B,0.0005936858186873969
180,2925,GRPR,0.0005904949176683966
181,83461,CDCA3,0.0005886980133889577
182,144110,TMEM86A,0.00058767585008959
183,10615,SPAG5,0.0005858318924078924
184,79919,MAB21L4,0.0005854975366067995
185,286887,KRT6C,0.0005835710580655594
186,79785,RERGL,0.0005807724742900245
187,4804,NGFR,0.0005710669664832198
188,80736,SLC44A4,0.0005638251578305017
189,113115,MTFR2,0.0005635903206424403
190,4751,NEK2,0.0005632122139773868
191,140578,CHODL,0.0005630334241799712
192,995,CDC25C,0.0005626993985374468
193,259266,ASPM,0.000562478504031509
194,55789,DEPDC1B,0.0005612098073141448
195,202243,CCDC125,0.0005606488552138452
196,9700,ESPL1,0.0005594738881297348
197,2064,ERBB2,0.000559460158560852
198,701,BUB1B,0.0005572985575810587
199,93594,TBC1D31,0.0005557605108487325
200,283948,NHLRC4,0.0005509565472839082
201,64129,TINAGL1,0.0005497658598588954
202,1555,CYP2B6,0.0005410968622767355
