subtype,rank,original_gene_id,hugo_symbol,mean_abs_shap
basal,1,79083,MLPH,0.0073805851379236944
basal,2,2296,FOXC1,0.007100524649333955
basal,3,10551,AGR2,0.007080782085506424
basal,4,3169,FOXA1,0.00561108771076357
basal,5,2099,ESR1,0.0055272576999167876
basal,6,25803,SPDEF,0.005032248927312754
basal,7,201895,SMIM14,0.004751961921049751
basal,8,80129,CCDC170,0.0047232899612986235
basal,9,7494,XBP1,0.0046376744292733
basal,10,222171,PRR15,0.004534456080077129
her2,1,2099,ESR1,0.012427781448710064
her2,2,80129,CCDC170,0.007787696998872224
her2,3,27202,C5AR2,0.0073353617718215705
her2,4,2296,FOXC1,0.004798985794206033
her2,5,155465,AGR3,0.004268733643338904
her2,6,8190,MIA,0.0042393601702882516
her2,7,9687,GREB1,0.003805234126466791
her2,8,11240,PADI2,0.0034758510376794918
her2,9,9635,CLCA2,0.0033139435611081536
her2,10,7200,TRH,0.0031945360098308492
luminal_A,1,2099,ESR1,0.009258514553337573
luminal_A,2,80129,CCDC170,0.006180501217675767
luminal_A,3,27202,C5AR2,0.006068444015550133
luminal_A,4,2625,GATA3,0.00534135907336511
luminal_A,5,151648,SGO1,0.004794029497398232
luminal_A,6,9,NAT1,0.004707781511899411
luminal_A,7,155465,AGR3,0.004421304758643384
luminal_A,8,9156,EXO1,0.004103673887830854
luminal_A,9,6790,AURKA,0.00399678528179272
luminal_A,10,55165,CEP55,0.003606713744974287
luminal_B,1,2099,ESR1,0.01076246951560629
luminal_B,2,80129,CCDC170,0.005828366163439964
luminal_B,3,8190,MIA,0.005059952171359132
luminal_B,4,27202,C5AR2,0.004695265251808614
luminal_B,5,2296,FOXC1,0.004521948175794391
luminal_B,6,3852,KRT5,0.004211174190294217
luminal_B,7,155465,AGR3,0.004000814746697659
luminal_B,8,151648,SGO1,0.0035183667130344407
luminal_B,9,6422,SFRP1,0.0031181686115185534
luminal_B,10,29089,UBE2T,0.0031139686888983407
normal,1,8190,MIA,0.004826895355882162
normal,2,2296,FOXC1,0.0044337653908516055
normal,3,114818,KLHL29,0.0043552956223763695
normal,4,11170,FAM107A,0.004149237675620126
normal,5,3852,KRT5,0.0039033514981484125
normal,6,2247,FGF2,0.0037426203620867363
normal,7,2196,FAT2,0.0031368757684041644
normal,8,6663,SOX10,0.0029920215886170133
normal,9,6376,CX3CL1,0.002809714199272132
normal,10,55793,MINDY1,0.002715740400441409
