feature_index,original_gene_id,hugo_symbol
0,10002,NR2E3
1,1001,CDH3
2,100128927,ZBTB42
3,100129583,FAM47E
4,100129842,ZNF737
5,100132994,CXorf49B
6,10017,BCL2L10
7,100170841,EPOP
8,100191040,C2CD4D
9,10024,TROAP
10,10103,TSPAN1
11,10112,KIF20A
12,10129,FRY
13,10140,TOB1
14,10143,CLEC3A
15,10158,PDZK1IP1
16,10164,CHST4
17,10200,MPHOSPH6
18,10202,DHRS2
19,10205,MPZL2
20,1021,CDK6
21,10218,ANGPTL7
22,10232,MSLN
23,10234,LRRC17
24,10253,SPRY2
25,10279,PRSS16
26,1029,CDKN2A
27,10290,SPEG
28,10309,CCNO
29,1033,CDKN3
30,10331,B3GNT3
31,10349,ABCA10
32,10350,ABCA9
33,10351,ABCA8
34,1036,CDO1
35,10361,NPM2
36,10389,SCML2
37,10397,NDRG1
38,10402,ST3GAL6
39,10403,NDC80
40,10411,RAPGEF3
41,10451,VAV3
42,10460,TACC3
43,10468,FST
44,1047,CLGN
45,10477,UBE2E3
46,10479,SLC9A6
47,1048,CEACAM5
48,1051,CEBPB
49,10512,SEMA3C
50,10518,CIB2
51,10551,AGR2
52,10560,SLC19A2
53,10568,SLC34A2
54,1058,CENPA
55,10603,SH2B2
56,10612,TRIM3
57,10615,SPAG5
58,1062,CENPE
59,10622,POLR3G
60,1063,CENPF
61,10635,RAD51AP1
62,10643,IGF2BP3
63,10644,IGF2BP2
64,10647,SCGB1D2
65,10656,KHDRBS3
66,10683,DLL3
67,107,ADCY1
68,10720,UGT2B11
69,10721,POLQ
70,10733,PLK4
71,10742,RAI2
72,10753,CAPN9
73,10761,PLAC1
74,10788,IQGAP2
75,10804,GJB6
76,10809,STARD10
77,10811,NOXA1
78,10815,CPLX1
79,10818,FRS2
80,10840,ALDH1L1
81,10841,FTCD
82,10861,SLC26A1
83,1087,CEACAM7
84,10874,NMU
85,10884,MRPS30
86,10913,EDAR
87,10916,MAGED2
88,10940,POP1
89,10950,BTG3
90,10974,ADIRF
91,10991,SLC38A3
92,11001,SLC27A2
93,11004,KIF2C
94,1101,CHAD
95,11013,TMSB15A
96,11026,LILRA3
97,11057,ABHD2
98,11059,WWP1
99,11065,UBE2C
100,11067,DEPP1
101,11081,KERA
102,11098,PRSS23
103,111,ADCY5
104,1111,CHEK1
105,11122,PTPRT
106,11130,ZWINT
107,11131,CAPN11
108,11135,CDC42EP1
109,1116,CHI3L1
110,1117,CHI3L2
111,11170,FAM107A
112,11185,INMT
113,11197,WIF1
114,11202,KLK8
115,11226,GALNT6
116,11227,GALNT5
117,1124,CHN2
118,11240,PADI2
119,11247,NXPH4
120,112476,PRRT2
121,11248,NXPH3
122,11254,SLC6A14
123,112609,MRAP2
124,112616,CMTM7
125,112714,TUBA3E
126,1128,CHRM1
127,112817,HOGA1
128,11283,CYP4F8
129,1131,CHRM3
130,113115,MTFR2
131,113130,CDCA5
132,113177,IZUMO4
133,113220,KIF12
134,113230,MISP3
135,113235,SLC46A1
136,11339,OIP5
137,11341,SCRG1
138,113457,TUBA3D
139,113730,KLHDC7B
140,1138,CHRNA5
141,113802,HENMT1
142,114770,PGLYRP2
143,114793,FMNL2
144,114815,SORCS1
145,114818,KLHL29
146,114899,C1QTNF3
147,1149,CIDEA
148,114905,C1QTNF7
149,115,ADCY9
150,115019,SLC26A9
151,1153,CIRBP
152,115399,LRRC56
153,1154,CISH
154,115677,NOSTRIN
155,115811,DRC10
156,116173,CMTM5
157,116285,ACSM1
158,1163,CKS1B
159,116379,IL22RA2
160,1164,CKS2
161,116835,HSPA12B
162,116844,LRG1
163,117195,MRGPRX3
164,117245,PLAAT5
165,117247,SLC16A10
