model,subtype,n_patients,prevalence,brier_score
Logistic Regression,basal,34,0.17258883248730963,0.0022071910400703835
Logistic Regression,her2,16,0.08121827411167512,0.012111968580470367
Logistic Regression,luminal_A,100,0.5076142131979695,0.03577329136033016
Logistic Regression,luminal_B,40,0.20304568527918782,0.038622784214451734
Logistic Regression,normal,7,0.03553299492385787,0.007465156078725266
Random Forest,basal,34,0.17258883248730963,0.007358528222917341
Random Forest,her2,16,0.08121827411167512,0.026488207969930726
Random Forest,luminal_A,100,0.5076142131979695,0.08802043295017278
Random Forest,luminal_B,40,0.20304568527918782,0.07251690083076828
Random Forest,normal,7,0.03553299492385787,0.018077538547467006
MLP,basal,34,0.17258883248730963,0.0011052605311010937
MLP,her2,16,0.08121827411167512,0.030784961682082754
MLP,luminal_A,100,0.5076142131979695,0.07108434171632616
MLP,luminal_B,40,0.20304568527918782,0.08332735086772483
MLP,normal,7,0.03553299492385787,0.016824083319411733
