Subtype_A,Subtype_B,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Mean_Difference_A_minus_B,Median_Difference_A_minus_B,Welch_t,Cohen_d,Hedges_g,Cliff_Delta,Raw_P,FDR_Q_Value,Significant,Abs_Cohen_d,Abs_Hedges_g,Abs_Cliff_Delta
basal,luminal_A,171,499,1.1909308910925382,-0.2186215435736846,1.098093792319132,-0.29655074573726825,1.409552434666223,1.3946445380564003,16.49933931324021,1.6920847212381815,1.6901842142506434,0.7390570614914038,3.2912899757466113e-41,3.2912899757466113e-40,True,1.6920847212381815,1.6901842142506434,0.7390570614914038
her2,luminal_A,78,499,1.0955331707651115,-0.2186215435736846,0.9857268712096906,-0.29655074573726825,1.3141547143387962,1.282277616946959,12.406187287958504,1.6960849105134745,1.693871663566306,0.7549971738348492,1.315541783360618e-21,6.57770891680309e-21,True,1.6960849105134745,1.693871663566306,0.7549971738348492
luminal_A,luminal_B,499,197,-0.2186215435736846,0.43537249769890324,-0.29655074573726825,0.4154563449103834,-0.6539940412725879,-0.7120070906476517,-10.051568953200869,-0.8572596867041791,-0.8563329194753097,-0.4688259768267499,4.7746595853138414e-21,1.591553195104614e-20,True,0.8572596867041791,0.8563329194753097,0.4688259768267499
basal,luminal_B,171,197,1.1909308910925382,0.43537249769890324,1.098093792319132,0.4154563449103834,0.755558393393635,0.6826374474087487,7.8599491634643455,0.8372180907741317,0.8355013072660508,0.4420399560661383,6.161158487064234e-14,1.5402896217660584e-13,True,0.8372180907741317,0.8355013072660508,0.4420399560661383
her2,luminal_B,78,197,1.0955331707651115,0.43537249769890324,0.9857268712096906,0.4154563449103834,0.6601606730662082,0.5702705262993072,5.7540963475153815,0.8136119496777435,0.8113747032533317,0.4491734999349212,6.191418742984676e-08,1.2382837485969352e-07,True,0.8136119496777435,0.8113747032533317,0.4491734999349212
basal,normal,171,36,1.1909308910925382,0.002044239236835067,1.098093792319132,-0.1562385135146262,1.188886651855703,1.2543323058337583,6.065892295502417,1.1489163224329582,1.1447078377354016,0.6049382716049383,1.8198546265091926e-07,3.0330910441819876e-07,True,1.1489163224329582,1.1447078377354016,0.6049382716049383
her2,normal,78,36,1.0955331707651115,0.002044239236835067,0.9857268712096906,-0.1562385135146262,1.0934889315282763,1.1419653847243167,5.314441975904571,1.1505871475030214,1.1428650861103837,0.6118233618233618,1.7987655063921418e-06,2.569665009131631e-06,True,1.1505871475030214,1.1428650861103837,0.6118233618233618
luminal_B,normal,197,36,0.43537249769890324,0.002044239236835067,0.4154563449103834,-0.1562385135146262,0.4333282584620682,0.5716948584250097,2.3047727464186862,0.5208795230052786,0.519186523472217,0.31923293852227863,0.026197260450441146,0.03274657556305143,True,0.5208795230052786,0.519186523472217,0.31923293852227863
luminal_A,normal,499,36,-0.2186215435736846,0.002044239236835067,-0.29655074573726825,-0.1562385135146262,-0.22066578281051966,-0.14031223222264205,-1.2073036710349034,-0.2824446506686602,-0.2820470279788404,-0.09006902694277444,0.23487001978048733,0.2609666886449859,False,0.2824446506686602,0.2820470279788404,0.09006902694277444
basal,her2,171,78,1.1909308910925382,1.0955331707651115,1.098093792319132,0.9857268712096906,0.09539772032742677,0.11236692110944146,0.7488724871791627,0.09690560529129767,0.09661105937855817,0.04723346828609987,0.45496354299043795,0.45496354299043795,False,0.09690560529129767,0.09661105937855817,0.04723346828609987
