TME_signature,n_subtypes_tested,Kruskal_Wallis_H,p_value,FDR_BH,significant_FDR_0.05
Goblet cells,5,351.54854479089545,8.121242832046197e-75,1.7866734230501632e-73,True
Mast cells,5,266.6324553902191,1.6967835686109735e-56,1.8664619254720706e-55,True
Endothelial cells,5,176.04593550167147,5.267601264989865e-37,3.8629075943259014e-36,True
Smooth muscle cells,5,150.30320486409437,1.752882495174718e-31,9.64085372346095e-31,True
Fibroblasts,5,145.06894944636178,2.3182959390065646e-30,1.0200502131628884e-29,True
B cells,5,132.34927840532646,1.2244038734786446e-27,4.4894808694216975e-27,True
Pericytes,5,112.83841106437967,1.805126089797868e-23,5.673253425079013e-23,True
Hepatic stellate cells,5,107.54436675999841,2.429951087126205e-22,6.682365489597064e-22,True
Pancreatic stellate cells,5,101.84743679405028,3.9762701970806e-21,9.719771592863687e-21,True
Mammary epithelial cells,5,87.08580621533929,5.474393020462885e-18,1.2043664645018348e-17,True
Adipocytes,5,81.74980776162647,7.416664255511952e-17,1.4833328511023903e-16,True
Plasmacytoid dendritic cells,5,77.24954919359789,6.659480209455483e-16,1.2209047050668385e-15,True
Gamma delta T cells,5,76.9085907735116,7.863320905782814e-16,1.3307158455940146e-15,True
Dendritic cells,5,72.55791527071415,6.542031790526789e-15,1.0280335670827811e-14,True
Plasma cells,5,60.40777705380924,2.381368466450725e-12,3.492673750794397e-12,True
NK cells,5,56.23893258885846,1.7867112221328913e-11,2.4567279304327255e-11,True
Monocytes,5,50.62578688513895,2.6725058460238545e-10,3.458536977207341e-10,True
Luminal epithelial cells,5,49.83572648385325,3.90758727941154e-10,4.77594000816966e-10,True
T cells,5,49.44192198316932,4.721828887055841e-10,5.467380816590974e-10,True
Neutrophils,5,41.80662863742873,1.8294299020139572e-08,2.012372892215353e-08,True
B cells naive,5,37.21920984193548,1.6233797203483644e-07,1.7006835165554293e-07,True
Macrophages,5,20.404725621841408,0.0004154126935357394,0.0004154126935357394,True
