consensus_rank,consensus_feature,resolved_expression_column,resolution_method
1,5241,5241,exact
2,79192,79192,exact
3,143662,143662,exact
4,3929,3929,exact
5,79919,79919,exact
6,149563,149563,exact
7,3852,3852,exact
8,54898,54898,exact
9,92747,92747,exact
10,388743,388743,exact
11,5653,5653,exact
12,5650,5650,exact
13,3853,3853,exact
14,161835,161835,exact
15,30010,30010,exact
16,9,9,exact
17,254295,254295,exact
18,10551,10551,exact
19,3169,3169,exact
20,155465,155465,exact
21,53335,53335,exact
22,771,771,exact
23,84152,84152,exact
24,3899,3899,exact
25,367,367,exact
26,374860,374860,exact
27,221476,221476,exact
28,286133,286133,exact
29,2264,2264,exact
30,25818,25818,exact
31,6557,6557,exact
32,6523,6523,exact
33,81706,81706,exact
34,1602,1602,exact
35,3294,3294,exact
36,26154,26154,exact
37,253190,253190,exact
38,158046,158046,exact
39,6279,6279,exact
40,65266,65266,exact
41,1308,1308,exact
42,3158,3158,exact
43,419,419,exact
44,10647,10647,exact
45,130497,130497,exact
46,57863,57863,exact
47,80736,80736,exact
48,7031,7031,exact
49,1117,1117,exact
50,256394,256394,exact
51,222171,222171,exact
52,10321,10321,exact
53,125,125,exact
54,127254,127254,exact
55,148545,148545,exact
56,25984,25984,exact
57,6280,6280,exact
58,90865,90865,exact
59,3854,3854,exact
60,2568,2568,exact
61,152110,152110,exact
62,143941,143941,exact
63,57758,57758,exact
64,2525,2525,exact
65,145741,145741,exact
66,3861,3861,exact
67,6590,6590,exact
68,646424,646424,exact
69,5655,5655,exact
70,5284,5284,exact
71,127707,127707,exact
72,124872,124872,exact
73,144568,144568,exact
74,5104,5104,exact
75,4604,4604,exact
76,91074,91074,exact
77,10202,10202,exact
78,3887,3887,exact
79,55503,55503,exact
80,146894,146894,exact
81,51442,51442,exact
82,1908,1908,exact
83,143425,143425,exact
84,9073,9073,exact
85,203328,203328,exact
86,260436,260436,exact
87,5304,5304,exact
88,11254,11254,exact
89,92291,92291,exact
90,4886,4886,exact
91,4588,4588,exact
92,128822,128822,exact
93,84239,84239,exact
94,6663,6663,exact
95,362,362,exact
96,2173,2173,exact
97,51806,51806,exact
98,114770,114770,exact
99,4250,4250,exact
100,722,722,exact
101,1828,1828,exact
102,5288,5288,exact
103,94122,94122,exact
104,2925,2925,exact
105,2920,2920,exact
106,59272,59272,exact
107,284340,284340,exact
108,11202,11202,exact
109,23532,23532,exact
110,866,866,exact
111,2099,2099,exact
112,4036,4036,exact
113,8424,8424,exact
114,5649,5649,exact
115,9568,9568,exact
116,338324,338324,exact
117,164656,164656,exact
118,11197,11197,exact
119,810,810,exact
120,117159,117159,exact
121,3872,3872,exact
122,2532,2532,exact
123,1672,1672,exact
124,7138,7138,exact
125,1101,1101,exact
126,8190,8190,exact
127,5596,5596,exact
128,285386,285386,exact
129,2893,2893,exact
130,58503,58503,exact
131,25803,25803,exact
132,5268,5268,exact
133,5803,5803,exact
134,199974,199974,exact
135,6422,6422,exact
136,10481,10481,exact
137,730,730,exact
138,6273,6273,exact
139,2066,2066,exact
140,12,12,exact
141,3483,3483,exact
142,150572,150572,exact
143,54490,54490,exact
144,221662,221662,exact
145,114815,114815,exact
146,3760,3760,exact
147,6278,6278,exact
148,3866,3866,exact
149,1244,1244,exact
150,8842,8842,exact
151,6664,6664,exact
152,51702,51702,exact
153,203413,203413,exact
154,1381,1381,exact
155,1825,1825,exact
156,768,768,exact
157,827,827,exact
158,339479,339479,exact
159,219970,219970,exact
160,29968,29968,exact
161,1048,1048,exact
162,7802,7802,exact
163,653145,653145,exact
164,8537,8537,exact
165,90019,90019,exact
166,9635,9635,exact
167,7021,7021,exact
168,117195,117195,exact
169,85320,85320,exact
170,10720,10720,exact
171,1620,1620,exact
172,25928,25928,exact
173,11122,11122,exact
174,347853,347853,exact
175,1830,1830,exact
176,10568,10568,exact
177,3868,3868,exact
178,2813,2813,exact
179,10562,10562,exact
180,1360,1360,exact
181,56165,56165,exact
182,84417,84417,exact
183,4137,4137,exact
184,84072,84072,exact
185,23581,23581,exact
186,286887,286887,exact
187,8626,8626,exact
188,2196,2196,exact
189,54102,54102,exact
190,2674,2674,exact
191,2348,2348,exact
192,7033,7033,exact
193,6833,6833,exact
194,8788,8788,exact
195,5764,5764,exact
196,342667,342667,exact
197,4057,4057,exact
198,79948,79948,exact
199,8581,8581,exact
200,6289,6289,exact
201,10232,10232,exact
202,57016,57016,exact
203,23650,23650,exact
204,6288,6288,exact
205,79083,79083,exact
206,5174,5174,exact
207,9951,9951,exact
208,118430,118430,exact
209,344905,344905,exact
210,51473,51473,exact
211,5409,5409,exact
