gsm_id,f_id
GSM2528085,F7
GSM2528086,F8
GSM2528220,F142
GSM2528263,F185
GSM2528297,F219
GSM2528305,F227
GSM2528307,F229
GSM2528320,F242
GSM2528324,F246
GSM2528325,F247
GSM2528341,F263
GSM2528345,F267
GSM2528347,F269
GSM2528349,F271
GSM2528365,F287
GSM2528392,F314
GSM2528404,F326
GSM2528410,F332
GSM2528419,F341
GSM2528433,F355
GSM2528437,F359
GSM2528439,F361
GSM2528441,F363
GSM2528449,F371
GSM2528457,F379
GSM2528458,F380
GSM2528459,F381
GSM2528527,F449
GSM2528535,F457
GSM2528536,F458
GSM2528545,F467
GSM2528546,F468
GSM2528548,F470
GSM2528550,F472
GSM2528551,F473
GSM2528555,F477
GSM2528558,F480
GSM2528559,F481
GSM2528565,F487
GSM2528567,F489
GSM2528572,F494
GSM2528573,F495
GSM2528576,F498
GSM2528581,F503
GSM2528582,F504
GSM2528583,F505
GSM2528588,F510
GSM2528600,F522
GSM2528602,F524
GSM2528603,F525
GSM2528606,F528
GSM2528613,F535
GSM2528614,F536
GSM2528615,F537
GSM2528619,F541
GSM2528628,F550
GSM2528637,F559
GSM2528638,F560
GSM2528639,F561
GSM2528641,F563
GSM2528642,F564
GSM2528644,F566
GSM2528649,F571
GSM2528654,F576
GSM2528655,F577
GSM2528656,F578
GSM2528676,F598
GSM2528712,F634
GSM2528802,F724
GSM2528894,F816
GSM2528897,F819
GSM2528899,F821
GSM2528938,F860
GSM2528969,F891
GSM2528970,F892
GSM2528974,F896
GSM2528976,F898
GSM2528992,F914
GSM2529018,F940
GSM2529045,F967
GSM2529046,F968
GSM2529050,F972
GSM2529052,F974
GSM2529053,F975
GSM2529054,F976
GSM2529068,F990
GSM2529069,F991
GSM2529101,F1023
GSM2529147,F1069
GSM2529148,F1070
GSM2529150,F1072
GSM2529151,F1073
GSM2529152,F1074
GSM2529154,F1076
GSM2529155,F1077
GSM2529157,F1079
GSM2529161,F1083
GSM2529169,F1091
GSM2529170,F1092
GSM2529171,F1093
GSM2529172,F1094
GSM2529173,F1095
GSM2529175,F1097
GSM2529176,F1098
GSM2529177,F1099
GSM2529178,F1100
GSM2529179,F1101
GSM2529191,F1113
GSM2529200,F1122
GSM2529209,F1131
GSM2529212,F1134
GSM2529214,F1136
GSM2529215,F1137
GSM2529216,F1138
GSM2529218,F1140
GSM2529219,F1141
GSM2529221,F1143
GSM2529222,F1144
GSM2529223,F1145
GSM2529224,F1146
GSM2529225,F1147
GSM2529249,F1171
GSM2529260,F1182
GSM2529261,F1183
GSM2529262,F1184
GSM2529266,F1188
GSM2529267,F1189
GSM2529279,F1201
GSM2529283,F1205
GSM2529285,F1207
GSM2529289,F1211
GSM2529292,F1214
GSM2529293,F1215
GSM2529294,F1216
GSM2529295,F1217
GSM2529379,F1301
GSM2529413,F1335
GSM2529414,F1336
GSM2529415,F1337
GSM2529432,F1354
GSM2529438,F1360
GSM2529445,F1367
GSM2529446,F1368
GSM2529458,F1380
GSM2529479,F1401
GSM2529480,F1402
GSM2529484,F1406
GSM2529488,F1410
GSM2529491,F1413
GSM2529500,F1422
GSM2529516,F1438
GSM2529517,F1439
GSM2529518,F1440
GSM2529519,F1441
GSM2529654,F1576
GSM2529674,F1596
GSM2529722,F1644
GSM2529724,F1646
GSM2529726,F1648
GSM2529729,F1651
GSM2529733,F1655
GSM2529791,F1713
GSM2529816,F1738
GSM2529817,F1739
GSM2529818,F1740
GSM2529820,F1742
GSM2529821,F1743
GSM2529822,F1744
GSM2529823,F1745
GSM2529824,F1746
GSM2529826,F1748
GSM2529879,F1801
GSM2529889,F1811
GSM2529892,F1814
GSM2529893,F1815
GSM2529897,F1819
GSM2529900,F1822
GSM2529907,F1829
GSM2529908,F1830
GSM2529909,F1831
GSM2529911,F1833
GSM2529912,F1834
GSM2529913,F1835
GSM2529914,F1836
GSM2529915,F1837
GSM2529946,F1868
GSM2529950,F1872
GSM2529993,F1915
GSM2529994,F1916
GSM2529995,F1917
GSM2529996,F1918
GSM2529997,F1919
GSM2530002,F1924
GSM2530003,F1925
GSM2530006,F1928
GSM2530009,F1931
GSM2530010,F1932
GSM2530011,F1933
GSM2530013,F1935
GSM2530015,F1937
GSM2530017,F1939
GSM2530019,F1941
GSM2530020,F1942
GSM2530021,F1943
GSM2530032,F1954
GSM2530034,F1956
GSM2530035,F1957
GSM2530036,F1958
GSM2530037,F1959
GSM2530038,F1960
GSM2530039,F1961
GSM2530041,F1963
GSM2530048,F1970
GSM2530054,F1976
GSM2530055,F1977
GSM2530056,F1978
GSM2530057,F1979
GSM2530058,F1980
GSM2530060,F1982
GSM2530061,F1983
GSM2530062,F1984
GSM2530063,F1985
GSM2530067,F1989
GSM2530114,F2036
GSM2530116,F2038
GSM2530117,F2039
GSM2530119,F2041
GSM2530121,F2043
GSM2530124,F2046
GSM2530125,F2047
GSM2530129,F2051
GSM2530233,F2155
GSM2530310,F2232
GSM2530327,F2249
GSM2530348,F2270
GSM2530350,F2272
GSM2530351,F2273
GSM2530353,F2275
GSM2530354,F2276
GSM2530387,F2309
GSM2530388,F2310
GSM2530389,F2311
GSM2530394,F2316
GSM2530395,F2317
GSM2530398,F2320
GSM2530409,F2331
GSM2530410,F2332
GSM2530413,F2335
GSM2530416,F2338
GSM2530417,F2339
GSM2530428,F2350
GSM2530430,F2352
GSM2530431,F2353
GSM2530433,F2355
GSM2530434,F2356
GSM2530485,F2407
GSM2530574,F2496
GSM2530583,F2505
GSM2530585,F2507
GSM2530586,F2508
GSM2530624,F2546
GSM2530625,F2547
GSM2530639,F2561
GSM2530663,F2585
GSM2530677,F2599
GSM2530678,F2600
GSM2530680,F2602
GSM2530687,F2609
GSM2530689,F2611
GSM2530690,F2612
GSM2530691,F2613
GSM2530737,F2659
GSM2530746,F2668
GSM2530748,F2670
GSM2530749,F2671
GSM2530750,F2672
GSM2530753,F2675
GSM2530754,F2676
GSM2530771,F2693
GSM2530801,F2723
GSM2530914,F2836
GSM2531069,F2991
GSM2531071,F2993
GSM2531077,F2999
GSM2531154,F3076
GSM2531157,F3079
GSM2531158,F3080
GSM2531160,F3082
GSM2531166,F3088
GSM2531242,F3164
GSM2531249,F3171
GSM2531251,F3173
GSM2531252,F3174
GSM2531253,F3175
GSM2531254,F3176
GSM2531255,F3177
GSM2531264,F3186
GSM2531274,F3196
GSM2531310,F3232
GSM2531318,F3240
GSM2531323,F3245
GSM2531344,F3266
GSM2531349,F3271
GSM2531351,F3273
GSM2531353,F30repl
GSM2531354,F49repl
GSM2531355,F54repl
GSM2531361,F185repl
GSM2531364,F229repl
GSM2531365,F274repl
GSM2531366,F282repl
GSM2531367,F327repl
GSM2531368,F405repl
GSM2531369,F437repl
GSM2531379,F685repl
GSM2531389,F785repl
GSM2531401,F1101repl
GSM2531403,F1143repl
GSM2531404,F1156repl
GSM2531405,F1167repl
GSM2531406,F1197repl
GSM2531407,F1214repl
GSM2531409,F1392repl
