feature,entrez_id,mapped_symbol,lgbm_importance,svm_coef_mean
10202,10202,DHRS2,75,0.019393334576447097
10232,10232,MSLN,52,0.02045330184137035
10321,10321,CRISP3,69,0.02460324088369848
1048,1048,CEACAM5,39,0.027005675479406743
10481,10481,HOXB13,40,0.02456394291103708
10551,10551,AGR2,114,0.02585416214618727
10562,10562,OLFM4,40,0.03236868378165898
10568,10568,SLC34A2,49,0.010826108480686282
10647,10647,SCGB1D2,41,0.018431965831227255
10720,10720,UGT2B11,96,0.013016673103281367
1101,1101,CHAD,38,0.027469479864419777
11122,11122,PTPRT,72,0.018888372872546334
1117,1117,CHI3L2,90,0.025163891467434547
11197,11197,WIF1,37,0.015560457896659566
11202,11202,KLK8,30,0.0206347353467427
11254,11254,SLC6A14,66,0.015196447049323433
114770,114770,PGLYRP2,82,0.0141884975935753
114815,114815,SORCS1,31,0.020088499537400682
117159,117159,DCD,16,0.01578666549474702
117195,117195,MRGPRX3,26,0.027811460669078046
118430,118430,MUCL1,82,0.013129771825339318
12,12,SERPINA3,79,0.031809385324565634
1244,1244,ABCC2,119,0.04719613913469546
124872,124872,B4GALNT2,67,0.02622663764547778
125,125,ADH1B,53,0.014908541923215826
127254,127254,ERICH3,58,0.025925044261011478
127707,127707,KLHDC7A,49,0.02532569797977044
128822,128822,CST9,30,0.028669060170495607
130497,130497,OSR1,239,0.03756480478571459
1308,1308,COL17A1,171,0.01887374571815334
1360,1360,CPB1,80,0.019375807824471923
1381,1381,CRABP1,104,0.03311990088604946
143425,143425,SYT9,47,0.016696835769195725
143662,143662,MUC15,29,0.011538995502407773
143941,143941,TTC36,121,0.029824218669442827
144568,144568,A2ML1,107,0.01973750176027265
145741,145741,C2CD4A,60,0.019538461648392395
146894,146894,CD300LG,34,0.024440940805043478
148545,148545,NBPF4,60,0.027066175158754514
149563,149563,SRARP,82,0.02742958066030491
150572,150572,SMYD1,42,0.025532830221277704
152110,152110,NEK10,74,0.025951318178765514
155465,155465,AGR3,69,0.032048496431466664
158046,158046,NXNL2,71,0.02230913595457345
1602,1602,DACH1,59,0.024354415374927423
161835,161835,FSIP1,78,0.025540158857893652
1620,1620,BRINP1,41,0.02830926161887203
164656,164656,TMPRSS6,123,0.017274626902721846
1672,1672,DEFB1,70,0.04450776566320373
1825,1825,DSC3,28,0.012181282315567001
1828,1828,DSG1,25,0.014712184728204134
1830,1830,DSG3,35,0.011677217941423368
1908,1908,EDN3,32,0.025765477865784196
199974,199974,CYP4Z1,38,0.02412689688952051
203328,203328,SUSD3,66,0.016758413551793697
203413,203413,CT83,82,0.027217668763245557
2066,2066,ERBB4,157,0.03282981388888164
2099,2099,ESR1,285,0.03101599014861185
2173,2173,FABP7,71,0.029000116960126228
2196,2196,FAT2,33,0.019021309416324492
219970,219970,GLYATL2,41,0.020515677472340697
221476,221476,PI16,58,0.01851182630257356
221662,221662,RBM24,104,0.033052687910527616
222171,222171,PRR15,44,0.018452987729650747
2264,2264,FGFR4,106,0.033899634547968314
2348,2348,FOLR1,26,0.01729784873767682
23532,23532,PRAME,61,0.024738590280377844
23581,23581,CASP14,58,0.028282440472115877
23650,23650,TRIM29,89,0.017239838062793104
2525,2525,FUT3,38,0.012920125393130422
253190,253190,SERHL2,69,0.03912071086432161
2532,2532,ACKR1,78,0.01689911436034357
254295,254295,PHYHD1,162,0.037748507765895445
256394,256394,SERPINA11,53,0.021523145041023144
2568,2568,GABRP,54,0.012528023863722681
25803,25803,SPDEF,40,0.019002044167783182
25818,25818,KLK5,49,0.019850640238016436
25928,25928,SOSTDC1,39,0.014058185329332557
25984,25984,KRT23,41,0.01573541458908898
260436,260436,FDCSP,61,0.021494565652341736
26154,26154,ABCA12,65,0.03328266024045453
2674,2674,GFRA1,50,0.034153166973997125
2813,2813,GP2,48,0.02362122797219482
284340,284340,CXCL17,67,0.01830132475075246
285386,285386,TPRG1,61,0.012196141422957692
286133,286133,SCARA5,67,0.02412485918336127
286887,286887,KRT6C,41,0.02365801035618214
2893,2893,GRIA4,65,0.024168609565306837
2920,2920,CXCL2,46,0.027201959588213843
2925,2925,GRPR,66,0.024556147747849998
29968,29968,PSAT1,131,0.0265652027935157
30010,30010,NXPH1,58,0.031023179908657928
3158,3158,HMGCS2,137,0.022787302033139105
3169,3169,FOXA1,166,0.015621889379811071
3294,3294,HSD17B2,30,0.01891595248645874
338324,338324,S100A7A,34,0.01703103361055262
339479,339479,BRINP3,54,0.01932275635434459
342667,342667,STAC2,63,0.025656631991281077
344905,344905,ATP13A5,34,0.015839381665337573
347853,347853,TBX10,57,0.018782492784530754
3483,3483,IGFALS,113,0.032108162145408535
362,362,AQP5,52,0.020276401389286845
367,367,AR,40,0.01978491588385136
374860,374860,ANKRD30B,96,0.020097535602007686
3760,3760,KCNJ3,47,0.02943804811263275
3852,3852,KRT5,119,0.017905755997249855
3853,3853,KRT6A,56,0.018158567148724873
3854,3854,KRT6B,47,0.016639900632115935
3861,3861,KRT14,68,0.014236766478580947
3866,3866,KRT15,44,0.013065549259375354
3868,3868,KRT16,62,0.017257096188062867
3872,3872,KRT17,56,0.024461587333182176
3887,3887,KRT81,52,0.02800117036480466
388743,388743,CAPN8,71,0.01638109728481664
3899,3899,AFF3,101,0.021580958405029015
3929,3929,LBP,98,0.022706841957514608
4036,4036,LRP2,42,0.022582091764509964
4057,4057,LTF,31,0.014631371439698504
4137,4137,MAPT,138,0.032033457417014945
419,419,ART3,50,0.019508744192377712
4250,4250,SCGB2A2,48,0.019705153339440496
4588,4588,MUC6,55,0.014931499917433352
4604,4604,MYBPC1,69,0.01885053407427576
4886,4886,NPY1R,154,0.01727990163514564
5104,5104,SERPINA5,73,0.04318458152742694
51442,51442,VGLL1,45,0.01579234518363273
51473,51473,DCDC2,80,0.015714060611103493
51702,51702,PADI3,100,0.03729491200294966
5174,5174,PDZK1,65,0.033485171244826584
51806,51806,CALML5,26,0.012710224059632402
5241,5241,PGR,53,0.02567671332247971
5268,5268,SERPINB5,75,0.021857872922265938
5284,5284,PIGR,42,0.015235732189536647
5288,5288,PIK3C2G,42,0.022413882066528022
5304,5304,PIP,59,0.020231828110940188
53335,53335,BCL11A,157,0.028214043403212978
5409,5409,PNMT,140,0.03175371709265988
54102,54102,CLIC6,40,0.018614481968366507
54490,54490,UGT2B28,35,0.014197323537358409
54898,54898,ELOVL2,136,0.039637136986525726
55503,55503,TRPV6,90,0.019599625228584956
5596,5596,MAPK4,73,0.025053003125279572
56165,56165,TDRD1,41,0.015999411078174826
5649,5649,RELN,65,0.02771421320139279
5650,5650,KLK7,20,0.016233777042725783
5653,5653,KLK6,28,0.020027180077883896
5655,5655,KLK10,33,0.017370162202046673
57016,57016,AKR1B10,111,0.026243816040755374
5764,5764,PTN,91,0.043690033246028125
57758,57758,SCUBE2,82,0.02688956775295745
57863,57863,CADM3,100,0.03925325970232926
5803,5803,PTPRZ1,78,0.03405267084375181
58503,58503,OPRPN,29,0.02901027785202794
59272,59272,ACE2,73,0.02384002541825767
6273,6273,S100A2,65,0.027352776429534004
6278,6278,S100A7,21,0.01268968015008363
6279,6279,S100A8,43,0.014259373770779307
6280,6280,S100A9,37,0.021404375898237366
6288,6288,SAA1,35,0.015044159002307517
6289,6289,SAA2,53,0.018101218510104093
6422,6422,SFRP1,87,0.022372799824143197
646424,646424,SPINK8,69,0.014933535261079756
6523,6523,SLC5A1,74,0.019080412772778624
65266,65266,WNK4,45,0.02864121926566135
653145,653145,ANXA8,31,0.020776874091449134
6557,6557,SLC12A1,66,0.032110661379534666
6590,6590,SLPI,107,0.02092532984717514
6663,6663,SOX10,110,0.0114142801076326
6664,6664,SOX11,117,0.031514219299825494
6833,6833,ABCC8,77,0.009808522701029122
7021,7021,TFAP2B,93,0.01468172831667966
7031,7031,TFF1,107,0.027463149226806614
7033,7033,TFF3,57,0.01864577314483637
7138,7138,TNNT1,76,0.02407418040454335
722,722,C4BPA,15,0.018579681932798305
730,730,C7,77,0.025202360771574304
768,768,CA9,58,0.022735227271283357
771,771,CA12,57,0.02036165480653056
7802,7802,DNALI1,119,0.019575454464393093
79083,79083,MLPH,216,0.022600668705098546
79192,79192,IRX1,70,0.022281826667179934
79919,79919,MAB21L4,130,0.021735434577231167
79948,79948,PLPPR3,54,0.02378557786506747
80736,80736,SLC44A4,133,0.050167856245900665
810,810,CALML3,37,0.01590933575834223
81706,81706,PPP1R14C,92,0.026893203718367436
8190,8190,MIA,108,0.022404909674145854
827,827,CAPN6,129,0.01778041796214026
84072,84072,HORMAD1,34,0.012795067153033541
84152,84152,PPP1R1B,113,0.0390033906523838
84239,84239,ATP13A4,45,0.024953912178465477
8424,8424,BBOX1,30,0.015210655089624594
84417,84417,ECRG4,116,0.035603397624901875
85320,85320,ABCC11,110,0.026846137215210175
8537,8537,BCAS1,83,0.03420920758637437
8581,8581,LY6D,31,0.016473485147978077
8626,8626,TP63,67,0.010076740953546662
866,866,SERPINA6,59,0.030979784059335953
8788,8788,DLK1,66,0.03819251095694591
8842,8842,PROM1,44,0.018183140763217302
9,9,NAT1,101,0.03505827942453554
90019,90019,SYT8,77,0.023113567258409115
9073,9073,CLDN8,107,0.017295448324794828
90865,90865,IL33,133,0.02272727711558401
91074,91074,ANKRD30A,91,0.030045925945621454
92291,92291,CAPN13,45,0.025782931695064664
92747,92747,BPIFB1,49,0.026739636009660818
94122,94122,SYTL5,52,0.02672516399563895
9568,9568,GABBR2,35,0.034592724284040886
9635,9635,CLCA2,81,0.014354764371727164
9951,9951,HS3ST4,22,0.02472612633698921
