gene,entrez_id,consensus_votes
NDC80,10403,3
AGR2,10551,3
CENPA,1058,3
KIF2C,11004,3
KIF18B,146909,3
SRARP,149563,3
SGO1,151648,3
AGR3,155465,3
CDCA2,157313,3
FSIP1,161835,3
ERBB4,2066,3
ESR1,2099,3
SKA1,220134,3
FOXC1,2296,3
TPX2,22974,3
FOXM1,2305,3
GABRP,2568,3
C5AR2,27202,3
BIRC5,332,3
KIFC1,3833,3
KRT16,3868,3
VGLL1,51442,3
GTSE1,51512,3
PGR,5241,3
PLK1,5347,3
CEP55,55165,3
HJURP,55355,3
DEPDC1,55635,3
SFRP1,6422,3
RUMY2,653820,3
SOX11,6664,3
BUB1,699,3
TFF3,7033,3
TTK,7272,3
CCDC170,80129,3
SLC44A4,80736,3
SACK1D,81610,3
PPP1R14C,81706,3
MIA,8190,3
CDC45,8318,3
NUF2,83540,3
ABCC11,85320,3
CCNA2,890,3
NAT1,9,3
TICRR,90381,3
EXO1,9156,3
AURKB,9212,3
GREB1,9687,3
DLGAP5,9787,3
MELK,9833,3
FAM47E,100129583,2
TROAP,10024,2
TSPAN1,10103,2
KIF20A,10112,2
POLQ,10721,2
CHAD,1101,2
UBE2C,11065,2
MTFR2,113115,2
NOSTRIN,115677,2
CLCN4,1183,2
TMEM45B,120224,2
DEGS2,123099,2
ABCC2,1244,2
CST9,128822,2
OSR1,130497,2
COL17A1,1308,2
CMBL,134147,2
SRSF12,135295,2
CHODL,140578,2
TTC36,143941,2
CKAP2L,150468,2
NXNL2,158046,2
DEFB1,1672,2
ABAT,18,2
SUSD3,203328,2
ERBB2,2064,2
FABP7,2173,2
FAT2,2196,2
FBP1,2203,2
FAM171A1,221061,2
SKA3,221150,2
PRR15,222171,2
ARSG,22901,2
TBC1D9,23158,2
SLC7A8,23428,2
ORC6,23594,2
SERPINA11,256394,2
SLC39A6,25800,2
SPDEF,25803,2
ASPM,259266,2
PRSS33,260429,2
GATA3,2625,2
GFAP,2670,2
GFRA1,2674,2
GPR160,26996,2
AMY1A,276,2
GP2,2813,2
HID1,283987,2
GRB7,2886,2
PSAT1,29968,2
FOXA1,3169,2
ATP13A5,344905,2
AR,367,2
KCNJ11,3767,2
KRT5,3852,2
KRT6B,3854,2
KRT14,3861,2
KRT17,3872,2
AFF3,3899,2
LCT,3938,2
C9orf152,401546,2
MAPT,4137,2
MYB,4602,2
MYBL2,4605,2
NEK2,4751,2
NPY1R,4886,2
SERPINB5,5268,2
BCL11A,53335,2
ANLN,54443,2
PIMREG,54478,2
SIDT1,54847,2
ELOVL2,54898,2
NEIL3,55247,2
MCM10,55388,2
DEPDC1B,55789,2
MAPK4,5596,2
DNAH7,56171,2
ZNF695,57116,2
PREX1,57580,2
SCUBE2,57758,2
PTPRZ1,5803,2
PTX3,5806,2
BCL2,596,2
CLSTN2,64084,2
SOX10,6663,2
TFF1,7031,2
XBP1,7494,2
ZBTB16,7704,2
CA12,771,2
DNALI1,7802,2
MLPH,79083,2
IRX1,79192,2
DCPH1,79624,2
RERGL,79785,2
ZNF552,79818,2
THSD4,79875,2
DIAPH3,81624,2
FZD9,8326,2
CDCA3,83461,2
CDCA7,83879,2
B3GNT5,84002,2
HORMAD1,84072,2
RAD54L,8438,2
ECRG4,84417,2
RERG,85004,2
BCAS1,8537,2
KCNK5,8645,2
INPP4B,8821,2
CCNE1,898,2
ANKRD30A,91074,2
CCNB2,9133,2
CCNE2,9134,2
CAPN13,92291,2
SYTL4,94121,2
CELSR1,9620,2
CLCA2,9635,2
CDC6,990,2
CDC20,991,2
KIF14,9928,2
CDC25A,993,2
